Batter,O/NO,R,B,4s,6s,SR,Score
A Kamboj,not out,3,3,0,0,100,3
A Kamboj,not out,4,1,1,0,400,8
A Kamboj,not out,5,3,1,0,166.67,9
A Kamboj,out,2,4,0,0,50,2
A Kamboj,out,0,1,0,0,0,2
A Mhatre ,out,32,15,4,2,213.33,70
A Mhatre ,out,30,19,6,0,157.89,62
A Mhatre ,out,94,48,9,5,195.83,190
A Mhatre ,out,0,2,0,0,0,2
A Mhatre ,out,43,20,8,1,215,91
A Mhatre ,out,7,6,1,0,116.67,11
DJ Hooda ,out,3,5,0,0,60,3
DJ Hooda ,out,4,9,1,0,44.44,8
DJ Hooda ,out,22,21,1,1,104.76,32
DJ Hooda ,out,2,2,0,0,100,2
DJ Hooda ,out,0,4,0,0,0,2
DP Conway,out,69,49,6,2,140.82,119
DP Conway,out,13,14,1,0,92.86,17
DP Conway,out,12,11,2,0,109.09,20
DP Conway,out,0,2,0,0,0,2
DP Conway,out,10,8,2,0,125,18
D Brevis ,out,42,25,1,4,168,78
D Brevis ,out,32,26,2,1,123.08,50
D Brevis ,out,0,1,0,0,0,2
D Brevis ,out,52,25,4,4,208,110
D Brevis ,out,42,25,2,3,168,76
J Overton,not out,11,4,0,1,275,17
J Overton,not out,4,3,1,0,133.33,8
KK Ahmed,not out,1,2,0,0,50,1
KK Ahmed,not out,0,0,0,0,-,2
MS Dhoni,not out,26,11,4,1,236.36,58
MS Dhoni,not out,17,18,0,1,94.44,23
MS Dhoni,out,1,4,0,0,25,1
MS Dhoni,out,4,6,0,0,66.67,4
MS Dhoni,out,6,10,1,0,60,8
MS Dhoni,out,11,4,1,1,275,21
MS Dhoni,out,12,8,0,1,150,18
MS Dhoni,out,16,17,0,1,94.12,22
MS Dhoni,not out,0,2,0,0,0,2
MS Dhoni,not out,30,16,3,2,187.5,64
MS Dhoni,not out,30,26,1,1,115.38,44
MS Dhoni,out,16,11,1,1,145.45,28
MS Dhoni,out,27,12,1,3,225,59
Noor Ahmad,not out,0,2,0,0,0,2
Noor Ahmad,not out,2,1,0,0,200,2
Noor Ahmad,out,1,8,0,0,12.5,1
Noor Ahmad,out,2,3,0,0,66.67,2
Noor Ahmad,out,0,1,0,0,0,2
Noor Ahmad,out,2,2,0,0,100,2
R Ravindra,not out,65,45,2,4,144.44,111
R Ravindra,out,41,31,5,0,132.26,67
R Ravindra,out,0,4,0,0,0,2
R Ravindra,out,3,6,0,0,50,3
R Ravindra,out,36,23,6,0,156.52,68
R Ravindra,out,4,9,0,0,44.44,4
R Ravindra,out,37,22,5,0,168.18,65
R Ravindra,out,5,9,0,0,55.56,5
RA Tripathi ,out,5,3,1,0,166.67,9
RA Tripathi ,out,23,19,3,1,121.05,41
RA Tripathi ,out,9,10,1,0,90,13
RA Tripathi ,out,2,3,0,0,66.67,2
RA Tripathi ,out,16,22,1,0,72.73,20
R Ashwin ,out,11,8,1,0,137.5,15
R Ashwin ,out,1,7,0,0,14.29,1
R Ashwin ,out,8,7,1,0,114.29,12
R Ashwin ,out,13,8,1,1,162.5,23
RA Jadeja,not out,32,22,2,1,145.45,52
RA Jadeja,not out,9,5,0,1,180,15
RA Jadeja,not out,53,35,4,2,151.43,97
RA Jadeja,not out,77,45,8,2,171.11,151
RA Jadeja,out,17,18,1,0,94.44,21
RA Jadeja,out,25,19,2,1,131.58,45
RA Jadeja,out,2,3,0,0,66.67,2
RA Jadeja,out,0,2,0,0,0,2
RA Jadeja,out,7,11,0,0,63.64,5
RA Jadeja,out,21,17,1,1,123.53,31
RA Jadeja,out,17,12,4,0,141.67,35
RA Jadeja,out,19,10,2,1,190,39
RA Jadeja,out,1,5,0,0,20,1
RD Gaikwad,out,53,26,6,3,203.85,113
RD Gaikwad,out,0,4,0,0,0,2
RD Gaikwad,out,63,44,7,1,143.18,111
RD Gaikwad,out,5,4,1,0,125,9
RD Gaikwad,out,1,3,0,0,33.33,1
SM Curran ,out,4,9,0,0,44.44,4
SM Curran ,out,8,13,0,0,61.54,6
SM Curran ,out,9,10,1,0,90,13
SM Curran ,out,88,47,9,4,187.23,178
SM Curran ,out,5,5,1,0,100,9
SK Rasheed ,out,27,19,6,0,142.11,57
SK Rasheed ,out,19,20,1,0,95,23
SK Rasheed ,out,0,1,0,0,0,2
SK Rasheed ,out,11,12,1,1,91.67,21
SK Rasheed ,out,14,11,1,1,127.27,24
S Dube,not out,31,29,3,0,106.9,47
S Dube,out,9,7,0,1,128.57,15
S Dube,not out,43,37,3,2,116.22,71
S Dube,out,6,6,1,0,100,10
S Dube,not out,8,3,0,1,266.67,14
S Dube,out,19,15,2,1,126.67,33
S Dube,out,18,10,1,2,180,40
S Dube,out,18,15,1,1,120,28
S Dube,out,42,27,3,2,155.56,74
S Dube,out,50,32,2,4,156.25,98
S Dube,out,12,9,2,0,133.33,20
S Dube,out,45,40,2,3,112.5,75
S Dube,out,39,32,2,2,121.88,63
UV Patel ,out,31,11,1,4,281.82,69
UV Patel ,out,0,2,0,0,0,2
V Shankar,not out,69,54,5,1,127.78,107
V Shankar,not out,2,2,0,0,100,2
V Shankar,out,9,6,0,1,150,15
V Shankar,out,29,21,2,1,138.1,49
V Shankar,out,9,8,1,0,112.5,13
