Bowler,O,M,R,W,Econ,Dots,Score
A Kamboj,2,0,19,1,9.5,4,34
A Kamboj,3,0,20,1,6.67,9,41
A Kamboj,3,0,25,0,8.33,7,7
A Kamboj,3,0,38,1,12.67,4,28
A Kamboj,3,0,21,1,7,8,38
A Kamboj,3,0,16,1,5.33,12,46
A Kamboj,2,0,20,0,10,3,1
Jamie Overton,2,0,30,0,15,2,-4
Jamie Overton,2,0,24,0,12,4,-2
Jamie Overton,2,0,29,0,14.5,4,-2
KK Ahmed,4,0,28,1,7,13,43
KK Ahmed,4,0,38,2,9.5,12,72
KK Ahmed,4,0,25,2,6.25,9,71
KK Ahmed,4,0,45,2,11.25,9,65
KK Ahmed,3,0,40,0,13.33,8,2
KK Ahmed,4,0,38,1,9.5,12,42
KK Ahmed,2,0,24,0,12,6,0
KK Ahmed,3,0,21,1,7,9,39
KK Ahmed,3.4,0,28,2,7.64,13,73
KK Ahmed,3,0,65,0,21.67,5,-1
KK Ahmed,2,0,14,0,7,8,8
KK Ahmed,3,0,35,0,11.67,6,2
KK Ahmed,4,0,29,3,7.25,15,109
M Pathirana,1.4,0,34,0,20.4,2,2
M Pathirana,3,0,27,0,9,9,9
M Pathirana,4,0,45,2,11.25,6,62
M Pathirana,4,0,36,2,9,10,70
M Pathirana,4,0,28,2,7,11,71
M Pathirana,4,0,31,1,7.75,5,35
M Pathirana,4,0,52,0,13,4,-2
M Pathirana,4,0,45,2,11.25,10,66
M Pathirana,4,0,36,3,9,10,104
M Pathirana,4,0,39,0,9.75,3,3
M Pathirana,2.1,0,22,0,10.15,3,1
Mukesh Choudhary,4,0,50,0,12.5,6,0
Mukesh Choudhary,2,0,21,1,10.5,5,33
NT Ellis,4,0,38,1,9.5,6,36
Noor Ahmad,4,0,18,4,4.5,,138
Noor Ahmad,4,0,36,3,9,7,101
Noor Ahmad,4,0,28,2,7,9,69
Noor Ahmad,3,0,36,1,12,2,26
Noor Ahmad,3,0,32,1,10.67,4,32
Noor Ahmad,2,0,8,1,4,7,43
Noor Ahmad,4,0,13,0,3.25,13,19
Noor Ahmad,3,0,36,0,12,3,-3
Noor Ahmad,4,0,42,2,10.5,7,65
Noor Ahmad,4,0,39,1,9.75,5,35
Noor Ahmad,4,0,26,1,6.5,13,45
Noor Ahmad,4,0,31,4,7.75,9,141
Noor Ahmad,3,0,42,1,14,4,28
R Ashwin,4,0,31,1,7.75,6,36
R Ashwin,2,0,22,1,11,3,29
R Ashwin,4,0,46,1,11.5,6,32
R Ashwin,3,0,21,0,7,4,4
R Ashwin,4,0,48,2,12,7,61
R Ashwin,3,0,30,0,10,7,5
R Ashwin,3,0,19,0,6.33,11,13
R Ashwin,4,0,41,2,10.25,6,64
R Ashwin,4,0,25,0,6.25,7,9
RA Jadeja,3,0,21,0,7,8,8
RA Jadeja,3,0,37,0,12.33,5,-1
RA Jadeja,2,0,10,1,5,3,37
RA Jadeja,2,0,19,1,9.5,4,34
RA Jadeja,3,0,18,0,6,7,9
RA Jadeja,0.1,0,9,0,54,0,0
RA Jadeja,3,0,24,2,8,6,66
RA Jadeja,3,0,28,1,9.33,6,36
RA Jadeja,3.4,0,22,1,6,9,41
RA Jadeja,3,0,32,1,10.67,6,34
RA Jadeja,3,0,26,0,8.67,7,7
RA Jadeja,4,0,34,1,8.5,8,38
RA Jadeja,2,0,27,0,13.5,3,-3
SM Curran,1,0,13,0,13,2,2
SM Curran,3,0,34,0,11.33,8,4
SM Curran,2,0,25,0,12.5,2,-4
SM Curran,3,0,27,0,9,3,3
SM Curran,3,0,34,1,11.33,3,29
