Batter,O/NO,R,B,4s,6s,SR,Score
Abishek Porel,not out,34,18,2,2,188.89,64
Abishek Porel,out,33,20,4,1,165,63
Abishek Porel,out,33,25,3,1,132,57
Abishek Porel,out,51,36,5,1,141.67,91
Abishek Porel,out,28,11,2,2,254.55,58
Abishek Porel,out,7,7,1,0,100,11
Abishek Porel,out,49,37,5,1,132.43,81
Abishek Porel,out,18,9,3,1,200,36
Abishek Porel,out,8,10,1,0,80,12
Abishek Porel,out,0,2,0,0,0,2
Abishek Porel,out,4,2,1,0,200,8
Abishek Porel,out,30,19,1,3,157.89,60
Abishek Porel (wk) ,out,6,9,0,0,66.67,6
AR Sharma,not out,15,11,2,0,136.36,25
AR Sharma,not out,66,31,5,5,212.9,134
AR Sharma,out,17,14,2,0,121.43,25
AR Sharma,out,37,19,2,3,194.74,73
AR Sharma,out,18,16,1,1,112.5,28
AR Sharma,out,1,1,0,0,100,1
AR Sharma,out,2,3,0,0,66.67,2
AR Sharma,out,7,6,0,1,116.67,13
AR Sharma,out,41,26,2,3,157.69,75
AR Patel,not out,34,20,1,4,170,72
AR Patel,out,22,11,3,1,200,46
AR Patel,out,21,14,2,1,150,39
AR Patel,out,15,11,2,0,136.36,25
AR Patel,out,9,6,2,0,150,17
AR Patel,out,34,14,4,2,242.86,72
AR Patel,out,39,32,1,2,121.88,59
AR Patel,out,15,13,1,1,115.38,25
AR Patel,out,43,23,4,3,186.96,87
AR Patel,out,6,7,1,0,85.71,10
AR Patel,out,25,16,2,1,156.25,47
 Donovan Ferreira  ,out,1,3,0,0,33.33,1
 Dushmantha Chameera,not out,0,1,0,0,0,2
 Dushmantha Chameera,not out,2,3,0,0,66.67,2
 Dushmantha Chameera,not out,8,10,0,0,80,8
F du Plessis ,out,29,18,3,2,161.11,61
F du Plessis ,out,50,27,3,3,185.19,98
F du Plessis ,out,2,7,0,0,28.57,2
F du Plessis ,out,62,45,7,2,137.78,116
F du Plessis ,out,3,8,0,0,37.5,3
F du Plessis ,out,5,10,0,0,50,1
F du Plessis ,out,22,26,2,0,84.62,30
F du Plessis ,out,6,7,1,0,85.71,10
F du Plessis ,out,23,15,2,1,153.33,41
J Fraser0McGurk ,out,1,2,0,0,50,1
J Fraser0McGurk ,out,38,32,4,2,118.75,70
J Fraser0McGurk ,out,0,5,0,0,0,2
J Fraser0McGurk ,out,7,6,1,0,116.67,11
J Fraser0McGurk ,out,0,1,0,0,0,2
J Fraser0McGurk ,out,9,6,2,0,150,17
KL Rahul,not out,112,65,14,4,172.31,238
KL Rahul,out,7,5,1,0,140,11
KL Rahul,out,11,6,2,0,183.33,19
KL Rahul,out,35,21,6,1,166.67,73
KL Rahul,out,77,51,6,3,150.98,147
KL Rahul,not out,93,53,7,6,175.47,187
KL Rahul,not out,57,42,3,3,135.71,101
KL Rahul,out,15,5,2,1,300,29
KL Rahul,out,15,13,1,0,115.38,19
KL Rahul,out,38,32,2,2,118.75,62
KL Rahul,out,28,14,4,1,200,60
KL Rahul,out,41,39,3,0,105.13,57
KL Rahul,out,10,14,1,0,71.43,14
KK Nair ,out,0,3,0,0,0,2
KK Nair ,out,31,18,2,2,172.22,61
KK Nair ,out,15,9,2,1,166.67,29
KK Nair ,out,4,4,1,0,100,8
KK Nair ,out,15,13,2,0,115.38,23
KK Nair ,out,0,1,0,0,0,2
KK Nair ,out,44,27,5,2,162.96,84
KK Nair ,out,89,40,12,5,222.5,197
Kuldeep Yadav,not out,4,1,1,0,400,8
Kuldeep Yadav,not out,1,1,0,0,100,1
Kuldeep Yadav,out,5,5,1,0,100,9
Kuldeep Yadav,out,1,1,0,0,100,1
Kuldeep Yadav,out,7,8,0,0,87.5,7
Madhav Tiwari ,out,3,4,0,0,75,3
MA Starc,not out,1,1,0,0,100,1
MA Starc,not out,2,2,0,0,100,2
MA Starc,not out,0,0,0,0,-,2
MA Starc,not out,1,1,0,0,100,1
MA Starc,out,2,5,0,0,40,2
MA Starc,out,0,1,0,0,0,2
MA Starc,not out,1,2,0,0,50,1
MA Starc,out,0,1,0,0,0,2
Mustafizur Rahman ,out,0,1,0,0,0,2
Sameer Rizvi,not out,58,25,3,5,232,118
Sameer Rizvi,out,4,4,1,0,100,8
Sameer Rizvi,out,20,15,1,1,133.33,32
Sameer Rizvi,out,39,35,6,1,111.43,73
 Sediqullah Atal ,out,22,16,0,2,137.5,36
T Stubbs,not out,21,14,3,0,150,37
T Stubbs,not out,24,12,2,1,200,44
T Stubbs,not out,38,23,4,1,165.22,68
T Stubbs,not out,34,18,2,2,188.89,64
T Stubbs,out,41,36,4,0,113.89,61
T Stubbs,not out,21,10,0,2,210,39
T Stubbs,out,34,22,1,3,154.55,64
T Stubbs,out,1,4,0,0,25,1
T Stubbs,out,31,21,2,1,147.62,51
T Stubbs,out,34,18,5,1,188.89,70
T Stubbs,out,1,3,0,0,33.33,1
T Stubbs,out,2,4,0,0,50,2
T Stubbs,not out,18,14,2,0,128.57,26
V Nigam,not out,1,2,0,0,50,1
V Nigam,out,39,15,5,2,260,81
V Nigam,out,14,8,1,1,175,24
V Nigam,out,0,1,0,0,0,2
V Nigam,out,12,6,0,1,200,18
V Nigam,out,38,19,5,2,200,80
V Nigam,out,18,17,1,1,105.88,28
V Nigam,out,20,11,3,1,181.82,44
