Bowler,O,M,R,W,Econ,Dots,Score
AR Patel,3,0,18,0,6,7,9
AR Patel,4,0,43,0,10.75,7,5
AR Patel,1,0,5,0,5,1,1
AR Patel,4,0,52,0,13,8,2
AR Patel,2,0,19,0,9.5,4,4
AR Patel,3,0,23,1,7.67,9,39
AR Patel,2,0,18,0,9,3,3
AR Patel,4,0,29,0,7.25,6,6
AR Patel,4,0,19,2,4.75,9,75
AR Patel,4,0,27,2,6.75,6,68
AR Patel,3,0,35,0,11.67,5,1
Dushmantha Chameera,3,0,25,1,8.33,4,34
Dushmantha Chameera,3,0,24,1,8,3,33
Dushmantha Chameera,3,0,46,1,15.33,4,28
Dushmantha Chameera,4,0,54,1,13.5,6,30
Dushmantha Chameera,2,0,22,0,11,3,-1
Kuldeep Yadav,4,0,20,2,5,15,79
Kuldeep Yadav,4,0,22,3,5.5,13,111
Kuldeep Yadav,4,0,30,1,7.5,4,34
Kuldeep Yadav,4,0,17,2,4.25,11,77
Kuldeep Yadav,4,0,23,2,5.75,11,75
Kuldeep Yadav,4,0,33,1,8.25,7,37
Kuldeep Yadav,4,0,30,1,7.5,7,37
Kuldeep Yadav,4,0,33,0,8.25,,0
Kuldeep Yadav,4,0,28,0,7,8,8
Kuldeep Yadav,3,0,27,0,9,7,7
Kuldeep Yadav,4,0,37,0,9.25,4,4
Kuldeep Yadav,4,0,22,1,5.5,9,43
Kuldeep Yadav,4,0,39,2,9.75,7,67
MA Starc,4,0,42,3,10.5,9,101
MA Starc,3.4,0,35,5,9.55,12,186
MA Starc,4,0,27,1,6.75,12,44
MA Starc,3,0,35,0,11.67,9,5
MA Starc,3,0,43,0,14.33,5,-1
MA Starc,4,0,36,1,9,7,37
MA Starc,3.2,0,49,0,14.7,4,-2
MA Starc,4,0,25,1,6.25,9,41
MA Starc,3,0,31,0,10.33,6,4
MA Starc,4,0,43,3,10.75,12,104
Mohit Sharma,4,0,42,0,10.5,7,5
Mohit Sharma,3,0,25,1,8.33,4,34
Mohit Sharma,3,0,27,0,9,3,3
Mohit Sharma,2,0,10,1,5,5,39
Mohit Sharma,3,0,40,0,13.33,3,-3
Mohit Sharma,4,0,38,0,9.5,5,5
Mohit Sharma,2,0,28,0,14,1,-5
Mohit Sharma,4,0,47,0,11.75,5,1
Mukesh Kumar,2,0,17,0,8.5,3,3
Mukesh Kumar,4,0,40,1,10,6,34
Mukesh Kumar,4,0,33,4,8.25,11,143
Mukesh Kumar,3.3,0,51,0,14.57,7,1
Mukesh Kumar,2,0,22,1,11,4,30
Mukesh Kumar,4,0,36,1,9,5,35
Mukesh Kumar,3,1,26,1,8.67,10,52
Mukesh Kumar,4,0,38,1,9.5,9,39
Mukesh Kumar,3,0,31,0,10.33,5,3
Mukesh Kumar,2,0,17,0,8.5,6,6
Mukesh Kumar,4,0,48,2,12,7,61
Mukesh Kumar,4,0,49,1,12.25,9,33
Mustafizur Rahman,3,0,24,0,8,5,5
Mustafizur Rahman,4,0,30,1,7.5,10,40
Mustafizur Rahman,4,0,33,3,8.25,8,102
T Natarajan,3,0,49,0,16.33,1,-5
TT Stubbs,1,0,28,0,28,1,1
TT Stubbs,1,0,12,0,12,2,2
V Nigam,2,0,35,1,17.5,3,27
V Nigam,2,0,21,0,10.5,2,0
V Nigam,4,0,27,2,6.75,9,71
V Nigam,4,0,18,2,4.5,12,78
V Nigam,4,0,41,2,10.25,10,68
V Nigam,1,0,13,0,13,3,3
V Nigam,4,0,34,0,8.5,10,10
V Nigam,1,0,14,0,14,0,0
V Nigam,1,0,12,0,12,1,1
V Nigam,4,0,41,2,10.25,7,65
V Nigam,4,0,37,0,9.25,4,4
V Nigam,4,0,25,0,6.25,8,10
V Nigam,4,0,38,2,9.5,5,65
