Batter,O/NO,R,B,4s,6s,SR,Score
G Coetzee ,out,12,6,1,1,200,22
G Coetzee ,out,5,5,1,0,100,9
JC Buttler,not out,73,39,5,6,187.18,147
JC Buttler,not out,97,54,11,4,179.63,195
JC Buttler,not out,41,23,8,0,178.26,83
JC Buttler,not out,50,26,3,4,192.31,104
JC Buttler,out,54,33,4,2,163.64,98
JC Buttler,out,39,24,5,1,162.5,73
JC Buttler,out,0,3,0,0,0,2
JC Buttler,out,36,25,5,0,144,62
JC Buttler,out,16,14,2,0,114.29,24
JC Buttler,out,64,37,3,4,172.97,118
JC Buttler,out,30,27,3,1,111.11,52
JC Buttler,out,33,18,3,2,183.33,67
JC Buttler,out,5,7,0,0,71.43,5
K Rabada,not out,7,5,0,1,140,13
K Rabada,out,2,3,0,0,66.67,2
Kusal Mendis,out,20,10,1,2,200,42
Mohammed Siraj,not out,3,4,0,0,75,3
Arshad Khan,not out,1,1,0,0,100,1
Arshad Khan,not out,0,0,0,0,-,2
Arshad Khan,not out,1,1,0,0,100,1
Arshad Khan,out,1,3,0,0,33.33,1
Arshad Khan,out,20,14,0,3,142.86,40
R Tewatia,not out,24,12,2,2,200,50
R Tewatia,not out,11,3,1,1,366.67,21
R Tewatia,not out,11,8,1,0,137.5,15
R Tewatia,not out,16,11,1,1,145.45,28
R Tewatia,out,6,2,0,1,300,12
R Tewatia,out,0,0,0,0,-,2
R Tewatia,out,0,1,0,0,0,2
R Tewatia,out,0,2,0,0,0,2
R Tewatia,out,9,4,0,1,225,15
R Tewatia,out,6,3,0,1,200,12
R Tewatia,out,2,3,0,0,66.67,2
R Tewatia,out,14,10,1,0,140,20
Rashid Khan,not out,4,2,0,0,200,4
Rashid Khan,not out,4,4,0,0,100,4
Rashid Khan,not out,0,2,0,0,0,2
Rashid Khan,out,6,4,0,1,150,12
Rashid Khan,out,12,4,1,1,300,22
Rashid Khan,out,0,1,0,0,0,2
Rashid Khan,out,2,3,0,0,66.67,2
Rashid Khan,out,12,8,1,1,150,22
R Sai Kishore ,out,1,1,0,0,100,1
R Sai Kishore ,out,1,2,0,0,50,1
R Sai Kishore ,out,3,7,0,0,42.86,3
B Sai Sudharsan ,out,74,41,5,6,180.49,148
B Sai Sudharsan ,out,63,41,4,2,153.66,107
B Sai Sudharsan ,out,49,36,7,1,136.11,89
B Sai Sudharsan ,out,5,9,0,0,55.56,5
B Sai Sudharsan ,out,82,53,8,3,154.72,160
B Sai Sudharsan ,out,56,37,7,1,151.35,106
B Sai Sudharsan ,out,36,21,5,1,171.43,72
B Sai Sudharsan ,out,52,36,6,1,144.44,96
B Sai Sudharsan ,out,39,30,4,1,130,67
B Sai Sudharsan ,out,5,5,1,0,100,9
B Sai Sudharsan ,not out,108,61,12,4,177.05,226
B Sai Sudharsan ,out,80,49,10,1,163.27,154
B Sai Sudharsan ,out,48,23,9,0,208.7,94
B Sai Sudharsan ,out,21,16,4,0,131.25,39
B Sai Sudharsan ,out,41,28,6,0,146.43,71
M Shahrukh Khan,not out,6,1,0,1,600,12
M Shahrukh Khan,not out,11,6,0,1,183.33,17
M Shahrukh Khan,not out,11,5,0,1,220,17
M Shahrukh Khan,not out,5,2,1,0,250,9
M Shahrukh Khan,not out,6,2,0,1,300,12
M Shahrukh Khan,out,9,7,0,1,128.57,15
M Shahrukh Khan,out,36,20,4,2,180,74
M Shahrukh Khan,out,6,6,1,0,100,10
M Shahrukh Khan,out,57,29,5,3,196.55,113
M Shahrukh Khan,out,19,15,0,2,126.67,31
M Shahrukh Khan,out,13,7,0,1,185.71,19
SE Rutherford ,not out,30,18,1,3,166.67,60
SE Rutherford ,not out,35,16,6,1,218.75,75
SE Rutherford ,out,38,22,1,3,172.73,70
SE Rutherford ,out,0,4,0,0,0,2
SE Rutherford ,out,46,28,4,3,164.29,88
SE Rutherford ,out,18,11,0,2,163.64,34
SE Rutherford ,out,7,3,0,1,233.33,13
SE Rutherford ,out,22,19,3,0,115.79,34
SE Rutherford ,out,43,34,1,3,126.47,69
SE Rutherford ,out,28,15,2,2,186.67,58
SE Rutherford ,out,24,15,4,0,160,44
Shubman Gill  ,out,84,50,5,4,168,156
Shubman Gill  ,not out,61,43,9,0,141.86,111
Shubman Gill  ,not out,93,53,3,7,175.47,177
Shubman Gill  ,out,33,14,2,3,235.71,69
Shubman Gill  ,out,38,27,4,1,140.74,66
Shubman Gill  ,out,14,14,1,1,100,24
Shubman Gill  ,out,2,3,0,0,66.67,2
Shubman Gill  ,out,60,38,6,1,157.89,106
Shubman Gill  ,out,7,5,1,0,140,11
Shubman Gill  ,out,90,55,10,3,163.64,176
Shubman Gill  ,out,76,38,10,2,200,158
Shubman Gill  ,out,43,46,3,1,93.48,65
Shubman Gill  ,out,35,20,7,0,175,73
Shubman Gill  ,out,13,9,1,1,144.44,23
Shubman Gill  ,out,1,2,0,0,50,1
Washington Sundar ,out,49,29,5,2,168.97,89
Washington Sundar ,out,2,3,0,0,66.67,2
Washington Sundar ,out,13,8,0,1,162.5,19
Washington Sundar ,out,21,16,0,1,131.25,29
Washington Sundar ,out,48,24,5,3,200,96
