Batter,O/NO,R,B,4s,6s,SR,Score
A Nortje,not out,0,0,0,0,-,2
A Nortje,not out,0,0,0,0,-,2
A Raghuvanshi ,out,44,32,3,2,137.5,
A Raghuvanshi ,not out,22,17,2,0,129.41,30
A Raghuvanshi ,not out,22,17,2,0,129.41,30
A Raghuvanshi ,not out,27,13,3,1,207.69,55
A Raghuvanshi ,out,1,2,0,0,50,1
A Raghuvanshi ,out,30,22,2,1,136.36,50
A Raghuvanshi ,out,26,16,3,1,162.5,52
A Raghuvanshi ,out,50,32,5,2,156.25,98
A Raghuvanshi ,out,5,4,1,0,125,9
A Raghuvanshi ,out,37,28,5,1,132.14,69
A Raghuvanshi ,out,44,31,5,0,141.94,70
A Raghuvanshi ,out,14,18,1,0,77.78,18
AD Russell ,out,17,9,2,1,188.89,
AD Russell ,not out,57,25,4,6,228,127
AD Russell ,out,4,3,1,0,133.33,8
AD Russell ,out,5,11,1,0,45.45,3
AD Russell ,out,1,2,0,0,50,1
AD Russell ,out,7,4,0,1,175,13
AD Russell ,out,17,11,1,2,154.55,37
AD Russell ,out,21,15,3,1,140,41
AD Russell ,out,38,21,4,3,180.95,82
AD Russell ,out,0,1,0,0,0,2
AM Rahane ,out,26,14,4,1,185.71,
AM Rahane ,not out,20,17,1,1,117.65,30
AM Rahane ,out,56,31,6,4,180.65,122
AM Rahane ,out,18,15,1,1,120,28
AM Rahane ,out,18,15,1,1,120,28
AM Rahane ,out,11,7,1,1,157.14,21
AM Rahane ,out,38,27,1,4,140.74,72
AM Rahane ,out,61,35,8,2,174.29,123
AM Rahane ,out,17,17,1,1,100,27
AM Rahane ,out,50,36,5,1,138.89,90
AM Rahane ,out,30,24,1,2,125,50
AM Rahane ,out,48,33,4,2,145.45,82
AM Rahane ,out,15,8,3,0,187.5,27
AS Roy,out,0,1,0,0,0,
Harshit Rana,not out,0,1,0,0,0,
Harshit Rana,not out,10,9,2,0,111.11,18
Harshit Rana,not out,1,2,0,0,50,1
Harshit Rana,out,5,6,1,0,83.33,9
Harshit Rana,out,4,8,0,0,50,4
Harshit Rana,out,3,6,0,0,50,3
Harshit Rana,out,34,21,2,3,161.9,68
MK Pandey ,not out,36,28,1,1,128.57,50
MK Pandey ,out,37,23,2,3,160.87,71
MK Pandey ,out,19,14,2,1,135.71,35
MM Ali ,out,5,12,0,0,41.67,-1
MM Ali ,out,5,12,0,0,41.67,-1
MM Ali ,out,0,2,0,0,0,2
Q De Kock,not out,97,61,8,6,159.02,193
Q De Kock,not out,97,61,8,6,159.02,193
Q De Kock,out,4,5,1,0,80,8
Q De Kock,out,1,3,0,0,33.33,1
Q De Kock,out,1,6,0,0,16.67,1
Q De Kock,out,15,9,0,2,166.67,27
Q De Kock,out,23,16,0,3,143.75,43
Q De Kock,out,2,4,0,0,50,2
Q De Kock,out,9,13,0,0,69.23,7
Rahmanullah Gurbaz (wk) ,out,1,4,0,0,25,1
Rahmanullah Gurbaz (wk) ,out,35,25,4,1,140,63
Rahmanullah Gurbaz (wk) ,out,11,9,1,1,122.22,21
Ramandeep Singh,out,26,12,5,1,216.67,
Ramandeep Singh,not out,4,4,0,0,100,4
Ramandeep Singh,out,22,12,1,2,183.33,44
Ramandeep Singh,out,1,2,0,0,50,1
Ramandeep Singh,out,0,1,0,0,0,2
Ramandeep Singh,out,1,2,0,0,50,1
Ramandeep Singh,out,13,5,0,2,260,25
RK Singh,out,36,25,3,1,144,
RK Singh,not out,6,9,0,0,66.67,6
RK Singh,not out,32,17,4,1,188.24,64
RK Singh,not out,38,15,6,2,253.33,84
RK Singh,not out,15,12,1,1,125,25
RK Singh,not out,19,6,1,2,316.67,35
RK Singh,out,12,10,1,0,120,16
RK Singh,out,17,14,1,1,121.43,27
RK Singh,out,2,9,0,0,22.22,2
RK Singh,out,17,14,1,1,121.43,27
RK Singh,out,9,6,2,0,150,17
RK Singh,out,9,6,0,1,150,15
R Powell ,out,5,5,1,0,100,
SP Narine ,out,44,26,5,3,169.23,90
SP Narine ,out,0,2,0,0,0,2
SP Narine ,out,7,7,0,1,100,13
SP Narine ,out,30,13,4,2,230.77,68
SP Narine ,out,44,18,2,5,244.44,92
SP Narine ,out,5,4,1,0,125,9
SP Narine ,out,17,13,2,1,130.77,33
SP Narine ,out,11,9,1,1,122.22,21
SP Narine ,out,26,17,4,1,152.94,56
SP Narine ,out,31,16,3,3,193.75,71
SP Narine ,out,27,16,2,2,168.75,
Spencer Johnson,not out,1,1,0,0,100,1
Spencer Johnson,not out,1,3,0,0,33.33,1
Varun Chakaravarthy,not out,1,1,0,0,100,
VG Arora ,out,0,7,0,0,0,2
VG Arora ,out,0,1,0,0,0,2
VR Iyer ,out,6,7,1,0,85.71,10
VR Iyer ,out,3,9,0,0,33.33,3
VR Iyer ,out,60,29,7,3,206.9,124
VR Iyer ,out,45,29,6,1,155.17,83
VR Iyer ,out,7,4,0,0,175,7
VR Iyer ,out,14,19,0,0,73.68,14
VR Iyer ,out,7,5,1,0,140,
