Bowler,O,M,R,W,Econ,Dots,Score
AD Russell,2.5,0,35,2,12.35,4,58
AD Russell,1.4,0,21,2,12.6,3,63
AD Russell,2,0,32,1,16,4,28
AD Russell,1,0,13,1,13,2,32
AD Russell,2,0,22,1,11,5,31
AD Russell,1,0,11,0,11,0,0
AD Russell,2.4,0,22,0,8.25,5,5
AD Russell,2,0,34,0,17,2,-4
A Nortje,3,0,23,1,7.67,10,40
A Nortje,4,0,60,0,15,7,1
AS Roy,4,0,27,1,6.75,8,40
Harshit Rana,3,0,32,0,10.67,4,2
Harshit Rana,4,0,36,2,9,11,71
Harshit Rana,2,0,28,0,14,5,-1
Harshit Rana,3,0,15,1,5,9,43
Harshit Rana,4,0,51,2,12.75,5,59
Harshit Rana,4,0,16,2,4,17,83
Harshit Rana,3,0,25,3,8.33,13,107
Harshit Rana,4,0,45,1,11.25,5,31
Harshit Rana,4,0,49,0,12.25,8,2
Harshit Rana,3,0,40,0,13.33,5,-1
Harshit Rana,4,0,41,2,10.25,10,68
Harshit Rana,4,0,43,2,10.75,9,67
MM Ali,4,0,23,2,5.75,5,69
MM Ali,4,1,20,1,5,11,57
MM Ali,3,0,27,0,9,6,6
MM Ali,3,0,43,2,14.33,4,58
MM Ali,2,0,23,1,11.5,3,29
SH Johnson,2.2,0,31,0,13.29,7,1
SH Johnson,4,0,42,1,10.5,9,37
SH Johnson,2,0,14,0,7,7,7
SH Johnson,3,0,46,0,15.33,3,-3
SP Narine,4,0,27,1,6.75,5,37
SP Narine,3,0,32,0,10.67,5,3
SP Narine,4,0,30,1,7.5,9,39
SP Narine,3,0,38,0,12.67,6,0
SP Narine,4,0,13,3,3.25,12,112
SP Narine,3,0,14,2,4.67,9,75
SP Narine,4,0,36,0,9,4,4
SP Narine,4,0,29,3,7.25,10,104
SP Narine,4,0,27,0,6.75,6,8
SP Narine,4,0,28,0,7,9,9
SP Narine,4,0,42,2,10.5,8,66
VG Arora,4,0,33,2,8.25,9,69
VG Arora,4,0,35,0,8.75,9,9
VG Arora,4,0,31,1,7.75,10,40
VG Arora,2.3,0,26,1,10.4,4,32
VG Arora,4,0,50,1,12.5,8,32
VG Arora,3,0,48,3,16,7,95
VG Arora,4,0,39,1,9.75,10,40
VG Arora,3,0,42,1,14,4,28
VG Arora,4,1,29,3,7.25,12,118
VG Arora,4,0,44,1,11,7,33
VG Arora,2,0,19,1,9.5,5,35
Varun Chakaravarthy,4,0,43,1,10.75,7,35
Varun Chakaravarthy,3,0,12,0,4,9,15
Varun Chakaravarthy,4,0,22,3,5.5,11,109
Varun Chakaravarthy,4,0,22,2,5.5,11,75
Varun Chakaravarthy,4,0,33,0,8.25,7,7
Varun Chakaravarthy,4,0,39,2,9.75,8,68
Varun Chakaravarthy,4,0,32,2,8,10,70
Varun Chakaravarthy,4,0,18,2,4.5,12,78
Varun Chakaravarthy,4,0,17,2,4.25,13,79
Varun Chakaravarthy,4,0,31,0,7.75,9,9
Varun Chakaravarthy,4,0,21,2,5.25,10,74
Varun Chakaravarthy,3,0,54,0,18,2,-4
