Batter,O/NO,R,B,4s,6s,SR,Score
Abdul Samad,not out,22,8,2,2,275,48
Abdul Samad,not out,2,3,0,0,66.67,2
Abdul Samad,not out,30,10,0,4,300,64
Abdul Samad,not out,1,1,0,0,100,1
Abdul Samad,out,27,12,2,2,225,57
Abdul Samad,out,4,2,1,0,200,8
Abdul Samad,out,6,4,1,0,150,10
Abdul Samad,out,20,11,0,2,181.82,38
Abdul Samad,out,2,8,0,0,25,2
Abdul Samad,out,2,4,0,0,50,2
Abdul Samad,out,45,24,2,4,187.5,87
Abdul Samad,out,3,6,0,0,50,3
AK Markram ,out,15,13,1,1,115.38,25
AK Markram ,out,1,4,0,0,25,1
AK Markram ,out,28,18,4,1,155.56,58
AK Markram ,out,53,38,2,4,139.47,99
AK Markram ,out,47,28,4,2,167.86,83
AK Markram ,out,58,31,9,1,187.1,118
AK Markram ,out,6,6,1,0,100,10
AK Markram ,out,66,45,5,3,146.67,118
AK Markram ,out,52,33,2,3,157.58,94
AK Markram ,out,9,11,2,0,81.82,17
AK Markram ,out,13,10,1,1,130,25
AK Markram ,out,61,38,4,4,160.53,117
AK Markram ,out,36,24,3,2,150,68
Akash Deep,not out,6,1,0,1,600,12
Akash Deep,out,0,1,0,0,0,2
Avesh Khan,not out,0,0,0,0,-,2
Avesh Khan,not out,2,1,0,0,200,2
Avesh Khan,not out,19,10,3,1,190,43
Avesh Khan,out,0,1,0,0,0,2
A Badoni ,out,4,5,0,0,80,4
A Badoni ,out,6,6,1,0,100,10
A Badoni ,out,41,33,1,3,124.24,67
A Badoni ,out,30,19,4,0,157.89,54
A Badoni ,not out,28,20,2,1,140,48
A Badoni ,out,22,17,1,2,129.41,38
A Badoni ,out,35,22,2,2,159.09,63
A Badoni ,out,74,40,5,5,185,142
A Badoni ,out,3,5,0,0,60,3
A Badoni ,out,50,34,5,1,147.06,90
A Badoni ,out,36,21,6,0,171.43,70
DA Miller,not out,27,19,1,2,142.11,49
DA Miller,not out,13,7,2,0,185.71,21
DA Miller,not out,4,4,0,0,100,4
DA Miller,not out,0,0,0,0,-,2
DA Miller,not out,7,8,0,0,87.5,7
DA Miller,not out,14,15,1,0,93.33,18
DA Miller,out,27,14,3,1,192.86,55
DA Miller,out,7,11,0,0,63.64,5
DA Miller,out,11,8,0,1,137.5,17
DA Miller,out,19,18,3,0,105.56,31
DA Miller,out,24,16,3,0,150,40
Digvesh Singh,not out,0,0,0,0,-,2
Digvesh Singh,out,1,3,0,0,33.33,1
Matthew Breetzke ,out,14,12,1,1,116.67,24
MR Marsh ,out,0,1,0,0,0,2
MR Marsh ,out,34,24,3,2,141.67,64
MR Marsh ,out,72,36,6,6,200,150
MR Marsh ,out,52,31,7,2,167.74,108
MR Marsh ,out,60,31,9,2,193.55,126
MR Marsh ,out,81,48,6,5,168.75,163
MR Marsh ,out,30,25,2,2,120,54
MR Marsh ,out,4,6,0,0,66.67,4
MR Marsh ,out,45,36,3,1,125,67
MR Marsh ,out,0,5,0,0,0,2
MR Marsh ,out,65,39,6,4,166.67,129
MR Marsh ,out,117,64,10,8,182.81,251
MR Marsh ,out,67,37,4,5,181.08,131
N Pooran,not out,87,36,7,8,241.67,193
N Pooran,not out,56,27,4,5,207.41,120
N Pooran,out,75,30,6,7,250,171
N Pooran,out,70,26,6,6,269.23,148
N Pooran,out,44,30,5,2,146.67,82
N Pooran,out,12,6,1,1,200,22
N Pooran,out,61,34,1,7,179.41,125
N Pooran,out,8,9,2,0,88.89,16
N Pooran,out,11,8,2,0,137.5,19
N Pooran,out,9,5,2,0,180,17
N Pooran,out,6,5,1,0,120,10
N Pooran,out,45,26,6,1,173.08,85
N Pooran,out,13,10,1,0,130,19
N Pooran,out,27,15,1,3,180,59
Prince Yadav,not out,4,9,0,0,44.44,4
Prince Yadav,not out,1,1,0,0,100,1
Ravi Bishnoi,not out,0,0,0,0,-,2
Ravi Bishnoi,out,0,2,0,0,0,2
Ravi Bishnoi,out,13,14,0,2,92.86,25
RR Pant,not out,16,6,0,2,266.67,28
RR Pant,not out,118,61,11,8,193.44,256
RR Pant,out,0,6,0,0,0,2
RR Pant,out,15,15,0,1,100,21
RR Pant,out,2,5,0,0,40,2
RR Pant,out,2,6,0,0,33.33,2
RR Pant,out,21,18,4,0,116.67,37
RR Pant,out,63,49,4,4,128.57,115
RR Pant,out,3,9,0,0,33.33,3
RR Pant,out,0,2,0,0,0,2
RR Pant,out,4,2,1,0,200,8
RR Pant,out,18,17,2,1,105.88,32
RR Pant,out,7,6,1,0,116.67,11
Shahbaz Ahmed ,out,9,8,1,0,112.5,13
SN Thakur,not out,3,3,0,0,100,3
SN Thakur,not out,5,2,1,0,250,9
SN Thakur,out,0,2,0,0,0,2
SN Thakur,out,6,4,1,0,150,10
SN Thakur,out,4,1,1,0,400,8
