Bowler,O,M,R,W,Econ,Dots,Score
Abdul Samad,0.2,0,6,0,18,1,1
AK Markram,1,0,15,0,15,0,0
AK Markram,4,0,25,1,6.25,6,38
AK Markram,2,0,18,1,9,4,34
AK Markram,3,0,30,2,10,4,62
AK Markram,1,0,14,0,14,1,1
Akash Deep,4,0,46,1,11.5,7,33
Akash Deep,4,0,55,2,13.75,9,63
Akash Deep,3,0,33,0,11,4,0
Akash Deep,1,0,13,0,13,2,2
Akash Deep,3,0,33,0,11,5,1
Akash Deep,4,0,49,0,12.25,8,2
Akash Singh ,4,0,30,2,7.5,9,69
Akash Singh ,3.1,0,29,1,9.16,5,35
Akash Singh ,4,0,40,1,10,6,34
Avesh Khan,4,0,45,1,11.25,5,31
Avesh Khan,3,0,30,0,10,5,3
Avesh Khan,4,0,40,1,10,8,36
Avesh Khan,4,0,45,1,11.25,10,36
Avesh Khan,4,0,32,1,8,6,36
Avesh Khan,3.3,0,32,1,9.14,6,36
Avesh Khan,4,0,37,3,9.25,6,100
Avesh Khan,3,0,19,0,6.33,9,11
Avesh Khan,4,0,42,2,10.5,6,64
Avesh Khan,4,0,57,0,14.25,3,-3
Avesh Khan,3,0,25,0,8.33,4,4
Avesh Khan,3.5,0,51,2,13.3,4,58
Avesh Khan,3,0,32,1,10.67,5,33
A Badoni,1,0,4,2,4,2,62
A Badoni,0.4,0,9,0,13.5,1,1
Digvesh Singh,4,0,31,2,7.75,10,70
Digvesh Singh,4,0,30,2,7.5,10,70
Digvesh Singh,4,0,21,1,5.25,8,42
Digvesh Singh,4,0,33,1,8.25,8,38
Digvesh Singh,4,0,23,1,5.75,10,44
Digvesh Singh,4,0,30,0,7.5,7,7
Digvesh Singh,4,0,24,0,6,8,10
Digvesh Singh,4,0,48,1,12,5,29
Digvesh Singh,4,0,46,2,11.5,6,62
Digvesh Singh,4,0,37,2,9.25,8,68
Digvesh Singh,4,0,36,0,9,5,5
Digvesh Singh,4,0,40,1,10,8,36
Digvesh Singh,4,0,30,1,7.5,5,35
M Siddharth ,4,0,39,2,9.75,9,69
M Siddharth ,3,0,28,0,9.33,3,3
MP Yadav,4,0,40,2,10,12,70
MP Yadav,4,0,60,0,15,6,0
Prince Yadav,4,0,47,0,11.75,5,1
Prince Yadav,4,0,29,1,7.25,7,37
Prince Yadav,4,0,39,0,9.75,10,10
Prince Yadav,2.5,0,23,0,8.12,6,6
Prince Yadav,4,0,44,1,11,8,34
Prince Yadav,4,0,43,1,10.75,7,35
Ravi Bishnoi,4,0,53,2,13.25,8,62
Ravi Bishnoi,4,0,42,1,10.5,8,36
Ravi Bishnoi,3,0,43,0,14.33,6,0
Ravi Bishnoi,4,0,36,2,9,6,66
Ravi Bishnoi,3,0,19,0,6.33,7,9
Ravi Bishnoi,3,0,36,0,12,4,-2
Ravi Bishnoi,4,0,41,1,10.25,7,35
Ravi Bishnoi,1,0,26,0,26,1,1
Ravi Bishnoi,4,0,40,0,10,4,2
Ravi Bishnoi,4,0,47,1,11.75,8,34
Ravi Bishnoi,3,0,18,2,6,9,71
Shahbaz Ahmed,1.3,0,22,0,14.67,1,1
Shahbaz Ahmed,4,0,41,1,10.25,7,35
Shahbaz Ahmed,3,0,39,0,13,3,-3
SN Thakur,2,0,19,2,9.5,5,65
SN Thakur,4,0,34,4,8.5,11,143
SN Thakur,3,0,39,0,13,6,0
SN Thakur,4,0,40,1,10,3,31
SN Thakur,4,0,52,2,13,9,63
SN Thakur,4,0,34,2,8.5,9,69
SN Thakur,4,0,56,0,14,7,1
SN Thakur,3,0,34,1,11.33,5,31
SN Thakur,2,0,28,0,14,3,-3
SN Thakur,4,0,39,1,9.75,3,33
William O Rourke,2.2,0,31,1,13.29,5,29
William O Rourke,4,0,27,3,6.75,7,103
William O Rourke,4,0,74,2,18.5,3,57
