Batter,O/NO,R,B,4s,6s,SR,Score
C Bosch ,out,20,10,2,1,200,40
C Bosch ,out,27,22,1,2,122.73,47
DL Chahar,not out,28,15,2,2,186.67,58
DL Chahar,not out,1,1,0,0,100,1
DL Chahar,not out,8,8,1,0,100,12
DL Chahar,out,0,1,0,0,0,2
HH Pandya,not out,28,16,2,1,175,52
HH Pandya,not out,48,23,6,1,208.7,88
HH Pandya,out,11,17,1,0,64.71,13
HH Pandya,out,42,15,3,4,280,88
HH Pandya,out,2,4,0,0,50,2
HH Pandya,out,21,9,3,1,233.33,45
HH Pandya,out,5,7,0,0,71.43,5
HH Pandya,out,1,3,0,0,33.33,1
HH Pandya,out,15,13,1,0,115.38,19
JJ Bumrah,not out,0,1,0,0,0,2
JM Bairstow  ,out,38,24,3,2,158.33,70
Karn Sharma ,not out,1,1,0,0,100,1
MJ Santner,not out,18,9,1,2,200,34
MJ Santner,not out,2,2,0,0,100,2
MJ Santner,not out,0,1,0,0,0,2
MJ Santner,not out,0,1,0,0,0,2
MJ Santner,out,11,13,1,0,84.62,15
MJ Santner,out,8,4,0,1,200,14
NT Tilak Varma,not out,21,17,2,0,123.53,29
NT Tilak Varma,not out,2,2,0,0,100,2
NT Tilak Varma,out,31,25,2,2,124,55
NT Tilak Varma,out,39,36,3,1,108.33,61
NT Tilak Varma,out,25,23,2,0,108.7,37
NT Tilak Varma,out,56,29,4,4,193.1,114
NT Tilak Varma,out,59,33,6,3,178.79,119
NT Tilak Varma,out,6,5,1,0,120,10
NT Tilak Varma,out,7,7,0,0,100,7
NT Tilak Varma,out,44,29,2,2,151.72,72
Naman Dhir,not out,18,11,3,0,163.64,34
Naman Dhir,not out,38,17,3,2,223.53,72
Naman Dhir,not out,25,11,2,2,227.27,55
Naman Dhir,out,17,12,1,0,141.67,23
Naman Dhir,out,46,24,4,3,191.67,90
Naman Dhir,out,11,6,1,1,183.33,21
Naman Dhir,out,0,3,0,0,0,2
Naman Dhir,out,7,10,1,0,70,11
Naman Dhir,out,37,18,7,0,205.56,75
RA Bawa,not out,8,4,0,0,200,8
R Minz ,out,3,9,0,0,33.33,3
R Minz ,out,3,6,0,0,50,3
RG Sharma ,out,8,4,2,0,200,16
RG Sharma ,not out,76,45,4,6,168.89,156
RG Sharma ,out,0,4,0,0,0,2
RG Sharma ,out,13,12,0,1,108.33,19
RG Sharma ,out,17,9,2,1,188.89,31
RG Sharma ,out,18,12,2,1,150,36
RG Sharma ,out,26,16,0,3,162.5,52
RG Sharma ,out,70,46,8,3,152.17,136
RG Sharma ,out,12,5,0,2,240,24
RG Sharma ,out,53,36,9,0,147.22,103
RG Sharma ,out,7,8,1,0,87.5,11
RG Sharma ,out,8,7,1,0,114.29,12
RD Rickelton,not out,62,41,4,5,151.22,124
RD Rickelton,out,13,7,3,0,185.71,25
RD Rickelton,out,6,9,1,0,66.67,10
RD Rickelton,out,10,5,2,0,200,18
RD Rickelton,out,17,10,4,0,170,39
RD Rickelton,out,41,25,5,2,164,81
RD Rickelton,out,31,23,5,0,134.78,57
RD Rickelton,out,24,19,3,1,126.32,42
RD Rickelton,out,11,8,2,0,137.5,19
RD Rickelton,out,58,32,6,4,181.25,124
RD Rickelton,out,61,38,7,3,160.53,123
RD Rickelton,out,2,2,0,0,100,2
SA Yadav,not out,27,9,3,2,300,61
SA Yadav,not out,68,30,6,5,226.67,140
SA Yadav,not out,40,19,5,2,210.53,82
SA Yadav,not out,48,23,4,3,208.7,92
SA Yadav,out,48,28,1,4,171.43,86
SA Yadav,out,67,43,9,1,155.81,125
SA Yadav,out,28,26,5,0,107.69,52
SA Yadav,out,40,28,5,2,142.86,78
SA Yadav,out,26,15,2,2,173.33,56
SA Yadav,out,54,28,4,4,192.86,112
SA Yadav,out,35,24,5,0,145.83,61
SA Yadav,out,44,26,4,3,169.23,86
SA Yadav,out,29,26,2,1,111.54,47
TA Boult,not out,1,1,0,0,100,1
TA Boult,out,1,2,0,0,50,1
V Satyanarayana Penmetsa,not out,1,1,0,0,100,1
WG Jacks,not out,1,1,0,0,100,1
WG Jacks,out,11,7,2,0,157.14,19
WG Jacks,out,16,17,0,1,94.12,22
WG Jacks,out,5,7,0,0,71.43,5
WG Jacks,out,22,18,2,1,122.22,36
WG Jacks,out,36,26,3,2,138.46,66
WG Jacks,out,22,19,2,1,115.79,36
WG Jacks,out,29,21,3,1,138.1,53
WG Jacks,out,53,35,5,3,151.43,107
