Bowler,O,M,R,W,Econ,Dots,Score
Ashwani Kumar,3,0,24,4,8,10,142
Ashwani Kumar,3,0,39,1,13,5,29
Ashwani Kumar,2,0,42,1,21,1,25
Ashwani Kumar,4,0,55,2,13.75,9,63
Ashwani Kumar,4,0,28,2,7,6,66
C Bosch,4,0,26,1,6.5,14,46
C Bosch,3,0,29,0,9.67,10,10
DL Chahar,2,0,18,1,9,5,35
DL Chahar,4,0,39,1,9.75,9,39
DL Chahar,2,0,19,2,9.5,6,66
DL Chahar,2,0,23,0,11.5,2,-2
DL Chahar,2,0,29,0,14.5,2,-4
DL Chahar,3,0,24,1,8,6,36
DL Chahar,4,0,47,0,11.75,9,5
DL Chahar,4,0,32,1,8,11,41
DL Chahar,4,0,12,2,3,17,83
DL Chahar,3,0,38,0,12.67,8,2
DL Chahar,2,0,13,1,6.5,9,41
DL Chahar,3,0,32,1,10.67,6,34
HH Pandya,4,0,29,2,7.25,8,68
HH Pandya,2,0,10,1,5,6,40
HH Pandya,4,0,36,5,9,10,184
HH Pandya,4,0,45,2,11.25,8,64
HH Pandya,2,0,21,0,10.5,4,2
HH Pandya,4,0,42,1,10.5,6,34
HH Pandya,2,0,13,0,6.5,4,6
HH Pandya,3,0,31,1,10.33,6,34
HH Pandya,1,0,10,0,10,2,2
HH Pandya,1,0,2,1,2,4,34
HH Pandya,1,0,18,0,18,1,1
HH Pandya,2,0,19,1,9.5,4,34
JJ Bumrah,4,0,29,0,7.25,5,5
JJ Bumrah,4,0,44,1,11,10,36
JJ Bumrah,4,0,21,1,5.25,8,42
JJ Bumrah,4,0,25,2,6.25,9,71
JJ Bumrah,4,0,39,1,9.75,8,38
JJ Bumrah,4,0,15,2,3.75,15,81
JJ Bumrah,4,0,19,2,4.75,15,81
JJ Bumrah,4,0,40,0,10,6,4
JJ Bumrah,4,0,22,4,5.5,14,150
KV Sharma,2,0,25,0,12.5,2,-4
KV Sharma,4,0,36,3,9,8,102
KV Sharma,4,0,23,3,5.75,10,108
KV Sharma,2,0,13,0,6.5,3,5
MJ Santner,2.1,0,24,0,11.08,5,1
MJ Santner,3,0,25,0,8.33,5,5
MJ Santner,3.2,0,17,1,5.1,12,46
MJ Santner,4,0,46,0,11.5,5,1
MJ Santner,4,0,40,0,10,6,4
MJ Santner,4,0,43,2,10.75,3,61
MJ Santner,1,0,8,0,8,1,1
MJ Santner,3,0,14,1,4.67,7,43
MJ Santner,4,0,19,0,4.75,9,15
MJ Santner,2,0,15,0,7.5,1,1
Mujeeb Ur Rahman ,2,0,28,1,14,4,28
Naman Dhir,3,0,12,0,4,7,13
RJW Topley,3,0,40,0,13.33,6,0
TA Boult,3,0,27,0,9,4,4
TA Boult,4,0,34,1,8.5,6,36
TA Boult,4,0,23,1,5.75,14,48
TA Boult,3,0,28,1,9.33,8,38
TA Boult,4,0,57,2,14.25,8,62
TA Boult,2,0,21,0,10.5,5,3
TA Boult,4,0,29,1,7.25,6,36
TA Boult,4,0,43,0,10.75,7,5
TA Boult,4,0,26,4,6.5,12,146
TA Boult,4,0,20,3,5,11,109
TA Boult,2.1,0,28,3,12.92,5,93
TA Boult,4,0,22,2,5.5,11,75
TA Boult,4,0,38,1,9.5,9,39
V Satyanarayana Penmetsa,1,0,13,0,13,0,0
V Satyanarayana Penmetsa,3,0,40,1,13.33,4,28
V Puthur ,4,0,32,3,8,9,103
V Puthur ,2,0,21,1,10.5,4,32
V Puthur ,4,0,31,1,7.75,8,38
V Puthur ,1,0,10,1,10,1,31
V Puthur ,1,0,15,0,15,2,2
WG Jacks,4,0,32,1,8,7,37
WG Jacks,1,0,10,0,10,2,2
WG Jacks,3,0,14,2,4.67,9,75
WG Jacks,1,0,4,0,4,3,3
WG Jacks,2,0,18,2,9,4,64
WG Jacks,1,0,15,0,15,3,3
