Batter,O/NO,R,B,4s,6s,SR,Score
Arshdeep Singh,not out,1,1,0,0,100,1
Arshdeep Singh,out,1,5,0,0,20,1
Azmatullah Omarzai,not out,21,9,3,1,233.33,45
Azmatullah Omarzai,out,16,15,2,1,106.67,30
Azmatullah Omarzai,out,1,3,0,0,33.33,1
Azmatullah Omarzai,out,18,12,1,1,150,32
Azmatullah Omarzai,out,1,2,0,0,50,1
GJ Maxwell ,out,0,1,0,0,0,2
GJ Maxwell ,out,30,21,3,1,142.86,54
GJ Maxwell ,out,1,2,0,0,50,1
GJ Maxwell ,out,3,7,0,0,42.86,3
GJ Maxwell ,out,7,10,1,0,70,11
GJ Maxwell ,out,7,8,1,0,87.5,11
Harpreet Brar,not out,7,2,0,1,350,13
Harpreet Brar,out,4,11,0,0,36.36,-2
JP Inglis,not out,11,6,2,0,183.33,19
JP Inglis,not out,6,6,1,0,100,10
JP Inglis,out,2,6,0,0,33.33,2
JP Inglis,out,14,17,2,0,82.35,22
JP Inglis,out,29,17,2,1,170.59,53
JP Inglis,out,30,14,1,4,214.29,68
JP Inglis,out,32,12,3,2,266.67,66
JP Inglis,out,73,42,9,3,173.81,145
JP Inglis,out,4,7,0,0,57.14,4
JP Inglis,out,38,21,5,2,180.95,80
JP Inglis,out,39,23,1,4,169.57,75
KA Jamieson,not out,0,3,0,0,0,2
KA Jamieson,not out,0,2,0,0,0,2
LH Ferguson,not out,4,1,1,0,400,8
M Jansen,not out,34,19,2,2,178.95,64
M Jansen,not out,5,5,0,0,100,5
M Jansen,not out,25,20,0,2,125,41
M Jansen,not out,4,2,1,0,200,8
M Jansen,out,3,6,0,0,50,3
M Jansen,out,1,2,0,0,50,1
M Jansen,out,3,7,0,0,42.86,3
M Jansen,out,0,2,0,0,0,2
MP Stoinis,not out,34,11,1,4,309.09,72
MP Stoinis,not out,7,2,0,1,350,13
MP Stoinis,not out,15,5,1,1,300,25
MP Stoinis,not out,44,16,3,4,275,90
MP Stoinis,not out,2,2,0,0,100,2
MP Stoinis,out,20,15,1,2,133.33,38
MP Stoinis,out,1,7,0,0,14.29,1
MP Stoinis,out,4,7,0,0,57.14,4
MP Stoinis,out,1,2,0,0,50,1
MP Stoinis,out,26,17,2,2,152.94,54
MP Stoinis,out,6,2,0,1,300,12
Mitch Owen ,out,0,2,0,0,0,2
Musheer Khan  ,out,0,3,0,0,0,2
N Wadhera,not out,33,19,3,3,173.68,73
N Wadhera,not out,2,2,0,0,100,2
N Wadhera,not out,43,25,3,4,172,89
N Wadhera,out,62,41,4,3,151.22,112
N Wadhera,out,9,7,0,1,128.57,15
N Wadhera,out,27,22,2,1,122.73,45
N Wadhera,out,10,9,2,0,111.11,18
N Wadhera,out,5,6,0,0,83.33,5
N Wadhera,out,5,3,1,0,166.67,9
N Wadhera,out,16,9,2,1,177.78,30
N Wadhera,out,70,37,5,5,189.19,138
N Wadhera,out,16,16,1,0,100,20
N Wadhera,out,8,10,1,0,80,12
N Wadhera,out,48,29,4,2,165.52,84
N Wadhera,out,15,18,0,1,83.33,21
Prabhsimran Singh  ,out,30,15,2,3,200,66
Prabhsimran Singh  ,out,13,9,2,0,144.44,21
Prabhsimran Singh  ,out,33,17,5,1,194.12,69
Prabhsimran Singh  ,out,83,49,6,6,169.39,171
Prabhsimran Singh  ,out,54,36,5,3,150,108
Prabhsimran Singh  ,out,91,48,6,7,189.58,187
Prabhsimran Singh  ,out,28,18,4,1,155.56,58
Prabhsimran Singh  ,out,13,16,1,1,81.25,23
Prabhsimran Singh  ,out,18,10,2,1,180,38
Prabhsimran Singh  ,out,6,9,1,0,66.67,10
Prabhsimran Singh  ,out,26,22,0,2,118.18,42
Prabhsimran Singh  ,out,5,8,1,0,62.5,9
Prabhsimran Singh  ,out,69,34,9,3,202.94,141
Prabhsimran Singh  ,out,17,16,2,0,106.25,25
Prabhsimran Singh  ,out,0,2,0,0,0,2
Prabhsimran Singh  ,out,42,23,7,1,182.61,86
Prabhsimran Singh  ,out,21,10,3,1,210,45
P Arya,out,8,9,1,0,88.89,12
P Arya,out,22,12,3,1,183.33,46
P Arya,out,16,11,1,1,145.45,28
P Arya,out,22,15,3,1,146.67,42
P Arya,out,69,35,8,4,197.14,143
P Arya,out,23,15,5,0,153.33,47
P Arya,out,1,4,0,0,25,1
P Arya,out,9,7,1,0,128.57,13
P Arya,out,6,9,1,0,66.67,10
P Arya,out,62,35,9,2,177.14,128
P Arya,out,7,5,1,0,140,11
P Arya,out,20,10,2,1,200,40
P Arya,out,24,19,4,0,126.32,40
P Arya,out,47,23,7,2,204.35,97
P Arya,out,0,1,0,0,0,2
P Arya,out,103,42,7,9,245.24,231
P Arya,out,36,13,2,4,276.92,78
Shashank Singh,not out,44,16,6,2,275,90
Shashank Singh,not out,10,13,0,0,76.92,10
Shashank Singh,not out,52,36,2,3,144.44,92
Shashank Singh,not out,31,33,1,0,93.94,39
Shashank Singh,not out,33,15,4,1,220,65
Shashank Singh,not out,59,30,5,3,196.67,115
Shashank Singh,not out,61,30,3,6,203.33,127
Shashank Singh,out,2,3,0,0,66.67,2
Shashank Singh,out,18,17,1,1,105.88,28
Shashank Singh,out,1,5,0,0,20,1
Shashank Singh,out,23,12,1,2,191.67,45
Shashank Singh,out,11,10,0,0,110,11
Shashank Singh,out,3,5,0,0,60,3
Shashank Singh,out,2,3,0,0,66.67,2
SS Iyer  ,out,30,25,5,0,120,54
SS Iyer  ,not out,97,42,5,9,230.95,201
SS Iyer  ,not out,52,30,3,4,173.33,106
SS Iyer  ,not out,25,16,1,1,156.25,43
SS Iyer  ,not out,26,16,1,2,162.5,50
SS Iyer  ,not out,87,41,5,8,212.2,185
SS Iyer  ,out,10,5,2,0,200,18
SS Iyer  ,out,9,7,0,1,128.57,15
SS Iyer  ,out,82,36,6,6,227.78,172
SS Iyer  ,out,0,2,0,0,0,2
SS Iyer  ,out,7,10,0,0,70,7
SS Iyer  ,out,6,10,1,0,60,8
