Bowler,O,M,R,W,Econ,Dots,Score
Arshdeep Singh,4,0,36,2,9,11,71
Arshdeep Singh,4,0,43,3,10.75,8,100
Arshdeep Singh,4,0,35,1,8.75,10,40
Arshdeep Singh,4,0,39,0,9.75,6,6
Arshdeep Singh,4,0,37,1,9.25,11,41
Arshdeep Singh,3,1,11,1,3.67,10,58
Arshdeep Singh,3,0,23,2,7.67,8,68
Arshdeep Singh,3,0,26,1,8.67,6,36
Arshdeep Singh,3.2,0,25,2,7.5,12,72
Arshdeep Singh,4,0,16,3,4,14,114
Arshdeep Singh,4,0,60,0,15,9,3
Arshdeep Singh,4,0,35,0,8.75,6,6
Arshdeep Singh,4,0,28,2,7,11,71
Arshdeep Singh,2,0,20,0,10,3,1
Arshdeep Singh,4,0,44,0,11,4,71
Arshdeep Singh,4,0,40,3,10,8,51
Azmatullah Omarzai,2,0,29,0,14.5,3,-3
Azmatullah Omarzai,4,0,39,1,9.75,6,36
Azmatullah Omarzai,4,0,33,2,8.25,12,72
Azmatullah Omarzai,4,0,44,2,11,6,62
Azmatullah Omarzai,4,0,46,0,11.5,6,2
Azmatullah Omarzai,1,0,10,0,10,3,3
Azmatullah Omarzai,4,0,43,2,10.75,7,35
Azmatullah Omarzai,4,0,35,1,8.75,3,32
GJ Maxwell,2,0,26,1,13,3,27
GJ Maxwell,3,0,22,1,7.33,8,38
GJ Maxwell,1,0,6,0,6,3,3
GJ Maxwell,2,0,11,1,5.5,4,38
GJ Maxwell,3,0,40,0,13.33,3,-3
GJ Maxwell,2,0,5,1,2.5,7,43
Harpreet Brar,2,0,25,2,12.5,8,62
Harpreet Brar,2,0,21,1,10.5,5,33
Harpreet Brar,4,0,41,2,10.25,5,63
Harpreet Brar,4,0,36,1,9,5,35
Harpreet Brar,2,0,18,0,9,2,32
Harpreet Brar,4,0,27,1,6.75,6,38
Harpreet Brar,4,0,22,3,5.5,9,107
KA Jamieson,4,0,42,0,10.5,8,6
KA Jamieson,3,1,27,1,9,9,51
KA Jamieson,4,0,30,1,7.5,8,6
KA Jamieson,4,0,48,3,12,9,3
LH Ferguson,3,0,26,1,8.67,7,37
LH Ferguson,4,0,37,2,9.25,10,70
LH Ferguson,4,0,40,2,10,10,68
LH Ferguson,0.2,0,1,0,3,1,1
M Jansen,4,0,44,1,11,6,32
M Jansen,4,0,28,1,7,9,39
M Jansen,4,0,45,1,11.25,7,33
M Jansen,4,0,48,0,12,4,-2
M Jansen,2,0,39,0,19.5,2,-4
M Jansen,3.1,0,17,3,5.37,12,110
M Jansen,3,0,10,2,3.33,11,77
M Jansen,3,0,20,0,6.67,7,9
M Jansen,4,0,30,2,7.5,13,73
M Jansen,4,0,31,1,7.75,14,44
M Jansen,3,0,41,2,13.67,7,61
M Jansen,4,0,41,1,10.25,8,36
M Jansen,4,0,34,2,8.5,12,72
MP Stoinis,2,0,31,0,15.5,3,-3
MP Stoinis,2,0,15,0,7.5,5,5
MP Stoinis,4,0,48,0,12,4,-2
MP Stoinis,1,0,10,0,10,2,2
MP Stoinis,0.4,0,6,0,9,2,2
MP Stoinis,1,0,13,0,13,2,2
MP Stoinis,1,0,17,0,17,0,0
MP Stoinis,1.3,0,21,0,14,1,1
MP Stoinis,1,0,14,1,14,3,72
Musheer Khan ,2,0,27,1,13.5,1,1
Nehal Wadhera,0.5,0,9,0,10.8,1,1
P Dubey ,2,0,20,1,10,4,32
Shashank Singh,2,0,27,0,13.5,3,-3
Suryansh Shedge,3,0,40,0,13.33,1,-5
Vyshak Vijaykumar,3,0,30,1,10,6,66
Vyshak Vijaykumar,4,0,30,1,7.5,5,1
Vyshak Vijaykumar,3,0,28,0,9.33,7,7
Vyshak Vijaykumar,3,0,49,0,16.33,3,-3
Vyshak Vijaykumar,4,0,44,2,11,10,66
XC Bartlett,3,0,30,1,10,8,36
XC Bartlett,3,0,26,1,8.67,9,39
XC Bartlett,3,0,28,0,9.33,8,8
XC Bartlett,1,0,12,0,12,3,3
Yash Thakur ,4,0,39,1,9.75,8,38
Yash Thakur ,2.3,0,40,0,16,3,-3
YS Chahal,3,0,34,0,11.33,4,0
YS Chahal,1,0,9,0,9,0,0
YS Chahal,4,0,56,1,14,3,27
YS Chahal,4,0,28,4,7,14,146
YS Chahal,4,0,36,1,9,5,35
YS Chahal,4,0,50,1,12.5,7,31
YS Chahal,4,0,30,0,7.5,8,8
YS Chahal,4,0,36,1,9,8,38
YS Chahal,3,0,32,0,10.67,2,0
YS Chahal,3,0,11,2,3.67,7,73
YS Chahal,3,0,32,4,10.67,5,135
YS Chahal,4,0,39,1,9.75,7,1
YS Chahal,4,0,37,1,9.25,3,71
