Batter,O/NO,R,B,4s,6s,SR,Score
B Kumar ,not out,0,2,0,0,0,2
B Kumar ,not out,1,2,0,0,50,1
B Kumar ,not out,1,4,0,0,25,1
B Kumar  ,out,8,13,1,0,61.54,10
B Kumar  ,out,3,2,0,0,150,3
B Kumar  ,out,1,2,0,0,50,1
D Padikkal,not out,40,28,5,1,142.86,72
D Padikkal ,out,61,35,5,4,174.29,123
D Padikkal ,out,50,27,4,3,185.19,102
D Padikkal ,out,37,22,2,3,168.18,71
D Padikkal ,out,27,14,2,2,192.86,57
D Padikkal ,out,17,15,1,1,113.33,27
D Padikkal ,out,10,10,1,0,100,14
D Padikkal ,out,4,3,1,0,133.33,8
D Padikkal ,out,0,2,0,0,0,2
D Padikkal ,out,1,8,0,0,12.5,1
JG Bethell ,out,55,33,8,2,166.67,115
JG Bethell ,out,12,6,1,1,200,22
JM Sharma  (c)(wk),not out,85,33,8,6,257.58,183
JM Sharma  (c)(wk) ,out,24,15,1,2,160,44
JM Sharma  (wk),not out,40,19,2,4,210.53,82
JM Sharma  (wk),not out,20,10,4,0,200,42
JM Sharma  (wk),not out,11,8,0,1,137.5,17
JM Sharma  (wk) ,out,33,21,5,1,157.14,67
JM Sharma  (wk) ,out,24,10,2,2,240,50
JM Sharma  (wk) ,out,12,6,1,1,200,22
JM Sharma  (wk) ,out,7,8,1,0,87.5,11
JM Sharma  (wk) ,out,2,7,0,0,28.57,2
JM Sharma  (wk) ,out,3,11,0,0,27.27,-3
JR Hazlewood,not out,0,1,0,0,0,2
 KH Pandya,not out,73,47,5,4,155.32,133
 KH Pandya,out,18,18,1,0,100,22
 KH Pandya,out,8,6,2,0,133.33,16
 KH Pandya,out,5,5,1,0,100,9
 KH Pandya,out,4,5,0,0,80,4
 KH Pandya,out,0,3,0,0,0,2
 KH Pandya,out,1,2,0,0,50,1
 LS Livingstone,not out,15,5,2,1,300,29
 LS Livingstone,out,54,40,1,5,135,102
 LS Livingstone,out,25,15,0,2,166.67,45
 LS Livingstone,out,10,9,0,1,111.11,16
 LS Livingstone,out,4,6,0,0,66.67,4
 LS Livingstone,out,0,2,0,0,0,2
 LS Livingstone,out,0,1,0,0,0,2
 LS Livingstone,out,4,6,1,0,66.67,8
 Lungisani Ngidi,not out,0,2,0,0,0,2
 MS Bhandage  ,out,1,4,0,0,25,1
 Mayank Agarwal,not out,41,23,5,0,178.26,71
 Mayank Agarwal ,out,11,10,1,0,110,15
 Mayank Agarwal  ,out,24,18,2,1,133.33,40
 Mayank Agarwal  ,out,19,13,2,1,146.15,35
 PD Salt,not out,56,27,6,3,207.41,116
 PD Salt,out,65,33,5,6,196.97,139
 PD Salt,out,62,32,4,5,193.75,126
 PD Salt,out,56,31,9,2,180.65,122
 PD Salt,out,37,17,4,3,217.65,81
 PD Salt,out,32,16,5,1,200,68
 PD Salt,out,30,19,6,0,157.89,62
 PD Salt,out,26,23,4,0,113.04,46
 PD Salt,out,16,9,2,1,177.78,30
 PD Salt,out,14,13,1,1,107.69,24
 PD Salt,out,4,2,1,0,200,8
 PD Salt,out,4,4,1,0,100,8
 PD Salt,out,1,3,0,0,33.33,1
 RM Patidar  ,out,14,7,1,1,200,24
 RM Patidar  ,out,18,16,1,0,112.5,22
 RM Patidar  ,out,34,16,5,1,212.5,70
 RM Patidar  ,not out,15,8,1,1,187.5,25
 RM Patidar  ,out,64,32,5,4,200,126
 RM Patidar  ,out,51,32,4,3,159.38,101
 RM Patidar  ,out,26,16,1,2,162.5,50
 RM Patidar  ,out,25,23,1,1,108.7,39
 RM Patidar  ,out,23,18,1,1,127.78,33
 RM Patidar  ,out,12,12,2,0,100,20
 RM Patidar  ,out,12,13,1,0,92.31,16
 RM Patidar  ,out,11,15,1,0,73.33,15
 RM Patidar  ,out,6,6,1,0,100,10
 RM Patidar  ,out,1,3,0,0,33.33,1
 R Shepherd,not out,53,14,4,6,378.57,123
 R Shepherd,out,17,9,1,1,188.89,27
 R Shepherd,out,0,1,0,0,0,2
 TH David,not out,50,26,5,3,192.31,106
 TH David,not out,37,20,2,4,185,79
 TH David,not out,22,8,1,3,275,50
 TH David,not out,19,5,3,1,380,37
 TH David,not out,2,3,0,0,66.67,2
 TH David,not out,1,1,0,0,100,1
 TH David,out,32,18,3,2,177.78,66
 TH David,out,23,15,2,1,153.33,41
 TH David,out,1,5,0,0,20,1
 V Kohli,not out,73,54,7,1,135.19,121
 V Kohli,not out,59,36,4,3,163.89,109
 V Kohli,not out,62,45,4,2,137.78,104
 V Kohli,out,70,42,8,2,166.67,130
 V Kohli,out,62,33,5,5,187.88,130
 V Kohli,out,67,42,8,2,159.52,127
 V Kohli,out,54,30,10,0,180,112
 V Kohli,out,43,25,7,1,172,87
 V Kohli,out,51,47,4,0,108.51,79
 V Kohli,out,43,35,3,0,122.86,59
 V Kohli,out,31,30,2,1,103.33,49
 V Kohli,out,22,14,1,2,157.14,42
 V Kohli,out,12,12,2,0,100,20
 V Kohli,out,7,6,1,0,116.67,11
 V Kohli,out,1,3,0,0,33.33,1
 Yash Dayal,not out,1,1,0,0,100,1
 Yash Dayal ,out,3,6,0,0,50,3
 Yash Dayal ,out,0,1,0,0,0,2
