Bowler,O,M,R,W,Econ,Dots,Score
B Kumar,4,0,33,3,8.25,10,104
B Kumar,4,0,26,2,6.5,12,74
B Kumar,4,0,38,2,9.5,9,69
B Kumar,3,0,26,2,8.67,7,67
B Kumar,4,0,23,1,5.75,12,46
B Kumar,4,0,23,1,5.75,12,46
B Kumar,3,0,20,1,6.67,9,41
B Kumar,4,0,32,1,8,8,38
B Kumar,4,0,43,1,10.75,9,37
B Kumar,4,0,50,1,12.5,11,35
B Kumar,2,0,17,1,8.5,5,35
B Kumar,4,0,46,1,11.5,8,34
B Kumar,4,0,48,1,12,9,33
B Kumar,4,0,26,0,6.5,9,11
B Kumar,4,0,55,0,13.75,5,-1
JR Hazlewood,4,0,33,4,8.25,15,147
JR Hazlewood,4,0,21,3,5.25,15,113
JR Hazlewood,3,0,14,3,4.67,10,110
JR Hazlewood,3.1,0,21,3,6.63,10,106
JR Hazlewood,4,0,22,2,5.5,16,80
JR Hazlewood,4,0,37,2,9.25,12,72
JR Hazlewood,4,0,36,2,9,10,70
JR Hazlewood,3,0,26,1,8.67,7,37
JR Hazlewood,3.5,0,43,1,11.22,10,36
JR Hazlewood,3.5,0,43,1,11.22,10,36
JR Hazlewood,4,0,54,1,13.5,7,31
JR Hazlewood,4,0,39,0,9.75,6,6
JR Hazlewood,3,0,40,0,13.33,2,-4
KH Pandya,4,0,45,4,11.25,8,136
KH Pandya,4,0,29,3,7.25,8,102
KH Pandya,4,0,17,2,4.25,12,78
KH Pandya,4,0,25,2,6.25,10,72
KH Pandya,4,0,31,2,7.75,8,68
KH Pandya,4,0,29,1,7.25,6,36
KH Pandya,4,0,28,1,7,5,35
KH Pandya,3,0,24,1,8,5,35
KH Pandya,4,0,38,1,9.5,5,35
KH Pandya,2,0,14,0,7,5,5
KH Pandya,1,0,10,0,10,2,2
KH Pandya,1,0,10,0,10,2,2
KH Pandya,2,0,19,0,9.5,1,1
KH Pandya,3,0,34,0,11.33,3,-1
KH Pandya,3,0,34,0,11.33,3,-1
KH Pandya,2,0,26,0,13,4,-2
LS Livingstone,4,0,28,2,7,5,65
LS Livingstone,2,0,14,0,7,2,2
LS Livingstone,1,0,12,0,12,2,2
LS Livingstone,1,0,12,0,12,2,2
LS Livingstone,1,0,8,0,8,1,1
LS Livingstone,1,0,14,0,14,0,0
L Ngidi,4,0,30,3,7.5,9,103
L Ngidi,4,0,51,1,12.75,4,28
N Thushara,4,0,26,1,6.5,10,42
Rasikh Dar,3,0,35,1,11.67,9,35
Rasikh Dar,3,0,35,0,11.67,5,1
Rasikh Dar,3,0,35,0,11.67,5,1
R Shepherd,2,0,14,2,7,6,66
R Shepherd,1,0,5,1,5,4,34
R Shepherd,2,0,18,1,9,3,33
R Shepherd,3,0,30,1,10,5,33
R Shepherd,4,0,51,1,12.75,6,30
R Shepherd,1,0,15,0,15,2,2
R Shepherd,1,0,18,0,18,1,1
Suyash Sharma,3,0,25,0,8.33,9,9
Suyash Sharma,3,0,17,3,5.67,11,109
Suyash Sharma,4,0,26,2,6.5,7,69
Suyash Sharma,4,0,25,1,6.25,12,44
Suyash Sharma,4,0,47,1,11.75,8,34
Suyash Sharma,3,0,45,1,15,3,27
Suyash Sharma,4,0,22,0,5.5,8,12
Suyash Sharma,4,0,32,0,8,11,11
Suyash Sharma,4,0,32,0,8,10,10
Suyash Sharma,4,0,31,0,7.75,8,8
Suyash Sharma,4,0,39,0,9.75,5,5
Suyash Sharma,2,0,19,0,9.5,4,4
Suyash Sharma,4,0,43,0,10.75,2,0
Suyash Sharma,3,0,39,0,13,4,-2
Yash Dayal,4,0,26,2,6.5,11,73
Yash Dayal,3,0,18,2,6,6,68
Yash Dayal,4,0,46,2,11.5,8,64
Yash Dayal,3,0,18,1,6,10,42
Yash Dayal,4,0,36,1,9,9,39
Yash Dayal,4,0,42,1,10.5,10,38
Yash Dayal,3,0,25,1,8.33,7,37
Yash Dayal,4,0,41,1,10.25,4,32
Yash Dayal,3.5,0,45,1,11.74,5,31
Yash Dayal,3,0,33,1,11,5,31
Yash Dayal,3,0,20,0,6.67,7,9
Yash Dayal,3,0,20,0,6.67,7,9
Yash Dayal,2.1,0,18,0,8.31,5,5
Yash Dayal,2,0,22,0,11,3,-1
Yash Dayal,3,0,36,0,12,4,-2
Yash Dayal,3,0,44,0,14.67,3,-3
