Batter,O/NO,R,B,4s,6s,SR,Score
A Madhwal,not out,4,9,0,0,44.44,4
DC Jurel,not out,13,5,1,1,260,23
DC Jurel,not out,35,23,2,2,152.17,63
DC Jurel,not out,31,12,2,3,258.33,67
DC Jurel,out,5,4,1,0,125,9
DC Jurel,out,53,31,3,4,170.97,107
DC Jurel,out,26,17,0,2,152.94,46
DC Jurel,not out,6,5,0,0,120,6
DC Jurel,out,70,35,5,6,200,144
DC Jurel,out,33,28,5,0,117.86,57
DC Jurel,out,3,7,0,0,42.86,3
DC Jurel,out,47,34,3,3,138.24,83
DC Jurel,out,11,11,0,1,100,17
DC Jurel,out,0,1,0,0,0,2
Fazalhaq Farooqi,not out,2,2,0,0,100,2
JC Archer ,not out,1,1,0,0,100,1
JC Archer ,out,16,7,0,2,228.57,28
JC Archer ,out,0,2,0,0,0,2
JC Archer ,out,4,4,0,0,100,4
JC Archer ,out,0,1,0,0,0,2
JC Archer ,out,30,27,2,2,111.11,54
JC Archer ,out,12,8,1,0,150,16
K Kartikeya,out,2,4,0,0,50,2
K Kartikeya,out,1,1,0,0,100,1
Kunal Rathore ,out,0,5,0,0,0,2
Kwena Maphaka,not out,8,2,2,0,400,16
M Theekshana,not out,1,1,0,0,100,1
M Theekshana,not out,2,4,0,0,50,2
M Theekshana,out,5,13,0,0,38.46,-1
M Theekshana,out,2,9,0,0,22.22,2
N Rana ,out,11,8,2,0,137.5,19
N Rana ,out,8,9,0,0,88.89,8
N Rana ,out,81,36,10,5,225,181
N Rana ,out,1,3,0,0,33.33,1
N Rana ,not out,4,1,1,0,400,8
N Rana ,out,51,28,6,2,182.14,105
N Rana ,out,8,7,0,1,114.29,14
N Rana ,out,28,22,3,1,127.27,50
N Rana ,out,4,2,1,0,200,8
N Rana ,out,9,11,2,0,81.82,17
N Rana ,out,12,7,2,0,171.43,20
R Parag,not out,43,25,3,3,172,83
R Parag,out,26,14,1,3,185.71,58
R Parag,out,30,22,3,1,136.36,54
R Parag,out,8,11,1,0,72.73,12
R Parag,out,13,11,0,1,118.18,19
R Parag,out,3,4,0,0,75,3
R Parag,not out,32,15,2,2,213.33,62
R Parag,out,4,2,1,0,200,8
R Parag,out,25,15,0,3,166.67,51
R Parag,out,37,28,2,2,132.14,63
R Parag,out,39,26,3,2,150,71
R Parag,out,22,10,2,2,220,48
R Parag,out,16,8,3,0,200,28
R Parag,out,95,45,6,8,211.11,197
Sandeep Sharma,not out,6,5,0,0,120,6
SV Samson  ,out,66,37,7,4,178.38,136
SV Samson  ,out,13,11,2,0,118.18,21
SV Samson  ,out,20,16,1,1,125,30
SV Samson  ,out,31,19,2,3,163.16,65
SV Samson  ,out,38,26,6,0,146.15,68
SV Samson  ,out,41,28,4,2,146.43,75
SV Samson  ,out,15,19,1,0,78.95,19
SV Samson  ,out,20,16,1,1,125,30
SV Samson  ,out,41,31,3,2,132.26,71
SO Hetmyer,not out,15,9,1,0,166.67,19
SO Hetmyer,not out,12,5,1,1,240,22
SO Hetmyer,out,42,23,1,4,182.61,80
SO Hetmyer,out,7,8,1,0,87.5,11
SO Hetmyer,out,19,16,1,1,118.75,29
SO Hetmyer,out,20,12,2,1,166.67,38
SO Hetmyer,out,52,32,4,3,162.5,102
SO Hetmyer,out,9,8,1,0,112.5,13
SO Hetmyer,out,12,7,2,0,171.43,20
SO Hetmyer,out,11,8,1,0,137.5,15
SO Hetmyer,out,0,1,0,0,0,2
SO Hetmyer,out,29,23,1,1,126.09,43
SO Hetmyer,out,11,12,1,0,91.67,15
SB Dubey,not out,34,11,1,4,309.09,72
SB Dubey,not out,3,3,0,0,100,3
SB Dubey,out,12,7,1,1,171.43,22
SB Dubey,not out,25,14,1,2,178.57,51
SB Dubey,not out,7,7,0,0,100,7
SB Dubey,out,9,12,1,0,75,13
SB Dubey,out,1,3,0,0,33.33,1
SB Dubey,out,15,9,2,1,166.67,29
TU Deshpande,not out,2,1,0,0,200,2
TU Deshpande,not out,1,2,0,0,50,1
TU Deshpande,not out,1,2,0,0,50,1
TU Deshpande,out,3,3,0,0,100,3
V Suryavanshi,out,4,2,1,0,200,8
V Suryavanshi,out,101,38,7,11,265.79,241
V Suryavanshi,out,0,2,0,0,0,2
V Suryavanshi,out,40,15,4,4,266.67,90
V Suryavanshi,out,57,33,4,4,172.73,115
V Suryavanshi,out,34,20,2,3,170,70
V Suryavanshi,out,16,12,0,2,133.33,30
 Wanindu Hasaranga ,out,4,4,0,0,100,4
 Wanindu Hasaranga ,out,4,5,0,0,80,4
 Wanindu Hasaranga ,out,1,3,0,0,33.33,1
 Wanindu Hasaranga ,out,0,2,0,0,0,2
 Wanindu Hasaranga ,out,0,1,0,0,0,2
YBK Jaiswal,not out,70,40,9,2,175,136
YBK Jaiswal,out,1,5,0,0,20,1
YBK Jaiswal,out,29,24,2,2,120.83,53
YBK Jaiswal,out,4,3,1,0,133.33,8
YBK Jaiswal,out,67,45,3,5,148.89,123
YBK Jaiswal,out,6,7,1,0,85.71,10
YBK Jaiswal,out,75,47,10,2,159.57,155
YBK Jaiswal,out,51,37,3,4,137.84,101
YBK Jaiswal,out,74,52,5,4,142.31,132
YBK Jaiswal,out,49,19,7,3,257.89,105
YBK Jaiswal,out,13,6,0,2,216.67,25
YBK Jaiswal,out,34,21,5,1,161.9,68
YBK Jaiswal,out,50,25,9,1,200,110
YBK Jaiswal,out,36,19,5,2,189.47,78
