Bowler,O,M,R,W,Econ,Dots,Score
A Madhwal,4,0,39,0,9.75,5,5
A Madhwal,4,0,48,1,12,6,30
A Madhwal,3,0,50,0,16.67,4,-2
A Madhwal,4,0,29,3,7.25,8,102
Fazalhaq Farooqi,3,0,30,0,10,3,1
Fazalhaq Farooqi,3,0,49,0,16.33,3,-3
Fazalhaq Farooqi,4,0,38,0,9.5,8,8
Fazalhaq Farooqi,4,0,54,0,13.5,8,2
Fazalhaq Farooqi,3,0,39,0,13,3,-3
JC Archer,4,0,76,0,19,1,-5
JC Archer,2.3,0,33,0,13.2,7,1
JC Archer,3,1,13,1,4.33,13,61
JC Archer,4,0,25,3,6.25,14,110
JC Archer,4,0,30,1,7.5,10,40
JC Archer,4,0,36,0,9,11,11
JC Archer,4,0,32,2,8,10,70
JC Archer,4,0,32,1,8,9,39
JC Archer,4,0,33,1,8.25,12,42
JC Archer,4,0,49,1,12.25,6,30
JC Archer,4,0,42,0,10.5,6,4
JC Archer,4,0,30,1,7.5,11,41
K Kartikeya,2,0,22,0,11,4,0
K Kartikeya,1,0,10,0,10,2,2
K Kartikeya,2,0,21,1,10.5,4,32
K Kartikeya,3,0,25,1,8.33,6,36
KT Maphaka,3,0,32,1,10.67,8,36
KT Maphaka,2,0,22,0,11,4,0
M Theekshana,4,0,52,2,13,8,62
M Theekshana,4,0,32,0,8,11,11
M Theekshana,4,0,30,0,7.5,4,4
M Theekshana,4,0,26,2,6.5,9,71
M Theekshana,4,0,54,2,13.5,5,59
M Theekshana,2,0,21,0,10.5,2,0
M Theekshana,4,0,32,0,8,7,7
M Theekshana,4,0,35,2,8.75,4,64
M Theekshana,4,0,47,1,11.75,6,32
M Theekshana,4,0,41,1,10.25,9,37
M Theekshana,4,0,40,1,10,7,35
R Parag,4,0,25,0,6.25,7,9
R Parag,1,0,10,0,10,1,1
R Parag,1,0,6,0,6,1,1
R Parag,3,0,30,0,10,5,3
R Parag,1,0,14,0,14,0,0
R Parag,2,0,12,1,6,5,37
R Parag,3,0,21,1,7,3,33
R Parag,3,0,26,1,8.67,5,35
R Parag,2,0,26,0,13,3,-3
Sandeep Sharma,4,0,51,1,12.75,5,29
Sandeep Sharma,2,0,11,0,5.5,4,8
Sandeep Sharma,4,0,42,1,10.5,2,30
Sandeep Sharma,4,0,21,2,5.25,8,72
Sandeep Sharma,4,0,41,1,10.25,6,34
Sandeep Sharma,2.3,0,29,0,11.6,3,-1
Sandeep Sharma,4,0,33,0,8.25,7,7
Sandeep Sharma,4,0,33,1,8.25,7,37
Sandeep Sharma,4,0,55,1,13.75,6,30
Sandeep Sharma,4,0,45,2,11.25,6,62
TU Deshpande,4,0,44,3,11,8,98
TU Deshpande,1,0,7,0,7,2,2
TU Deshpande,4,0,45,0,11.25,8,4
TU Deshpande,4,0,53,2,13.25,7,61
TU Deshpande,2,0,21,0,10.5,3,1
TU Deshpande,3,0,38,0,12.67,2,-4
TU Deshpande,4,0,26,1,6.5,8,40
TU Deshpande,2,0,36,0,18,2,-4
TU Deshpande,4,0,37,2,9.25,9,69
TU Deshpande,4,0,33,1,8.25,10,40
Wanindu Hasaranga,3,0,34,1,11.33,2,28
Wanindu Hasaranga,4,0,35,4,8.75,12,144
Wanindu Hasaranga,4,0,36,1,9,,30
Wanindu Hasaranga,3,0,33,0,11,5,1
Wanindu Hasaranga,4,0,38,1,9.5,7,37
Wanindu Hasaranga,4,0,31,2,7.75,8,68
Wanindu Hasaranga,4,0,30,1,7.5,4,34
Wanindu Hasaranga,4,0,39,0,9.75,5,5
Wanindu Hasaranga,4,0,35,0,8.75,6,6
Wanindu Hasaranga,3,0,33,0,11,4,0
Wanindu Hasaranga,4,0,27,1,6.75,10,42
Yudhvir Singh,2,0,20,0,10,5,3
Yudhvir Singh,3,0,38,0,12.67,6,0
Yudhvir Singh,2,0,26,1,13,6,30
Yudhvir Singh,4,0,47,3,11.75,9,99
