Batter,O/NO,R,B,4s,6s,SR,Score
A Manohar,out,0,1,0,0,0,2
A Manohar,out,12,11,0,1,109.09,18
A Manohar,out,4,6,0,0,66.67,4
A Manohar,out,2,6,0,0,33.33,2
A Manohar,out,43,37,2,3,116.22,73
Abhishek Sharma ,out,141,55,14,10,256.36,303
Abhishek Sharma ,out,74,41,4,6,180.49,144
Abhishek Sharma ,out,59,20,4,6,295,129
Abhishek Sharma ,out,40,28,7,0,142.86,74
Abhishek Sharma ,out,34,17,3,3,200,74
Abhishek Sharma ,out,32,16,4,2,200,70
Abhishek Sharma ,out,24,11,5,0,218.18,50
Abhishek Sharma ,out,18,16,4,0,112.5,34
Abhishek Sharma ,out,8,8,0,1,100,14
Abhishek Sharma ,out,6,6,1,0,100,10
Abhishek Sharma ,out,2,6,0,0,33.33,2
Abhishek Sharma ,out,0,2,0,0,0,2
Abhishek Sharma ,out,1,1,0,0,100,1
AU Verma,not out,18,8,0,2,225,30
AU Verma,not out,12,6,1,1,200,22
AU Verma,out,7,3,0,1,233.33,13
AU Verma,not out,5,2,1,0,250,9
AU Verma,out,74,41,5,6,180.49,148
AU Verma,out,36,13,0,5,276.92,76
AU Verma,out,26,9,1,3,288.89,58
AU Verma,out,19,19,0,2,100,31
AU Verma,out,18,14,2,0,128.57,26
AU Verma,out,12,14,1,0,85.71,16
AU Verma,out,6,6,1,0,100,10
AU Verma,out,3,7,0,0,42.86,3
A Taide  ,out,13,9,3,0,144.44,25
HV Patel,not out,12,11,0,0,109.09,12
HV Patel,not out,1,1,0,0,100,1
HV Patel,out,5,9,0,0,55.56,5
HV Patel,out,3,5,0,0,60,3
H Klaasen,not out,105,39,7,9,269.23,233
H Klaasen,out,47,28,4,1,167.86,77
H Klaasen,out,24,13,2,2,184.62,50
H Klaasen,not out,21,14,2,1,150,39
H Klaasen,out,71,44,9,2,161.36,135
H Klaasen,out,34,14,5,1,242.86,70
H Klaasen,out,37,28,3,2,132.14,67
H Klaasen,out,33,21,2,2,157.14,61
H Klaasen,out,32,19,2,2,168.42,60
H Klaasen,out,26,17,2,1,152.94,48
H Klaasen,out,27,19,2,1,142.11,47
H Klaasen,out,23,18,1,1,127.78,33
H Klaasen,out,7,8,1,0,87.5,11
Ishan Kishan,not out,106,47,11,6,225.53,232
Ishan Kishan,not out,9,6,1,0,150,13
Ishan Kishan,out,44,34,5,1,129.41,74
Ishan Kishan,out,17,14,2,0,121.43,25
Ishan Kishan,out,13,17,0,0,76.47,13
Ishan Kishan,out,0,1,0,0,0,2
Ishan Kishan,out,2,5,0,0,40,2
Ishan Kishan,out,2,5,0,0,40,2
Ishan Kishan,out,2,3,0,0,66.67,2
Ishan Kishan,out,1,4,0,0,25,1
Ishan Kishan,not out,94,48,7,5,195.83,182
Ishan Kishan,out,35,28,3,2,125,63
Ishan Kishan,out,29,20,4,1,145,57
Kamindu Mendis,out,32,21,3,0,152.38,52
Kamindu Mendis,not out,32,22,3,0,145.45,50
Kamindu Mendis,out,27,20,1,2,135,49
Kamindu Mendis,out,0,1,0,0,0,2
Kamindu Mendis,out,1,5,0,0,20,1
Mohammad Shami,not out,6,2,1,0,300,10
Mohammad Shami,not out,2,4,0,0,50,2
Mohammad Shami,not out,1,1,0,0,100,1
Mohammad Shami,out,1,3,0,0,33.33,1
Nitish Kumar Reddy,not out,21,10,1,2,210,43
Nitish Kumar Reddy,not out,19,13,2,0,146.15,29
Nitish Kumar Reddy,not out,5,2,1,0,250,9
Nitish Kumar Reddy,out,30,15,4,1,200,62
Nitish Kumar Reddy,out,31,34,3,0,91.18,47
Nitish Kumar Reddy,out,32,28,2,0,114.29,44
Nitish Kumar Reddy,out,19,15,2,1,126.67,33
Nitish Kumar Reddy,out,19,21,1,0,90.48,23
Nitish Kumar Reddy,out,4,7,0,0,57.14,4
Nitish Kumar Reddy,out,0,2,0,0,0,2
Nitish Kumar Reddy,out,2,6,0,0,33.33,2
PJ Cummins ,not out,22,9,3,1,244.44,46
PJ Cummins ,not out,19,10,1,1,190,35
PJ Cummins ,not out,13,6,0,1,216.67,19
PJ Cummins ,not out,8,4,0,1,200,14
PJ Cummins ,not out,0,1,0,0,0,2
PJ Cummins ,out,18,4,0,3,450,36
PJ Cummins ,out,14,15,2,0,93.33,22
PJ Cummins ,out,2,7,0,0,28.57,2
PJ Cummins ,out,1,2,0,0,50,1
 Simarjeet Singh,not out,3,4,0,0,75,3
 Simarjeet Singh ,out,0,1,0,0,0,2
 Simarjeet Singh  ,out,0,2,0,0,0,2
TM Head ,out,67,31,9,3,216.13,139
TM Head ,out,66,37,9,3,178.38,138
TM Head ,out,28,29,3,0,96.55,44
TM Head ,out,76,40,6,6,190,166
TM Head ,out,47,28,5,3,167.86,93
TM Head ,out,22,12,4,0,183.33,44
TM Head ,out,20,16,4,0,125,36
TM Head ,out,19,16,4,0,118.75,35
TM Head ,out,17,10,3,0,170,35
TM Head ,out,8,5,2,0,160,16
TM Head ,out,4,2,1,0,200,8
TM Head ,out,0,4,0,0,0,2
 Wiaan Mulder  ,out,9,11,1,0,81.82,13
