Bowler,O,M,R,W,Econ,Dots,Score
Abhishek Sharma,2,0,17,0,8.5,6,6
Abhishek Sharma,3,0,27,0,9,4,4
Abhishek Sharma,2,0,20,0,10,5,3
Abhishek Sharma,1,0,18,0,18,1,1
Abhishek Sharma,2,0,25,0,12.5,4,-2
Abhishek Sharma,1,0,5,0,5,2,2
A Zampa ,4,0,48,1,12,7,31
A Zampa ,4,0,46,1,11.5,3,29
E Malinga,3.4,0,31,3,8.45,10,104
E Malinga,4,0,28,2,7,10,70
E Malinga,4,0,37,2,9.25,10,70
E Malinga,4,0,36,2,9,7,67
E Malinga,3,0,33,1,11,6,32
E Malinga,4,0,28,1,7,7,37
E Malinga,4,0,45,2,11.25,6,62
Harsh Dubey,4,0,44,1,11,5,31
Harsh Dubey,4,0,34,3,8.5,10,104
Harsh Dubey,2,0,20,1,10,3,31
HV Patel,4,0,28,4,7,14,146
HV Patel,4,0,42,4,10.5,7,137
HV Patel,4,0,34,2,8.5,7,67
HV Patel,3.5,0,39,1,10.17,9,37
HV Patel,4,0,43,1,10.75,6,34
HV Patel,4,0,49,1,12.25,10,34
HV Patel,3,0,31,1,10.33,2,30
HV Patel,2,0,28,1,14,2,26
HV Patel,3,0,17,0,5.67,7,11
HV Patel,3,0,21,0,7,6,6
HV Patel,2,0,21,0,10.5,5,3
HV Patel,3,0,41,0,13.67,1,-5
HV Patel,4,0,36,1,9,9,39
Ishan Kishan,0.1,0,4,0,24,0,0
JD Unadkat,4,0,24,3,6,12,108
JD Unadkat,4,0,35,3,8.75,8,102
JD Unadkat,2.5,0,21,2,7.41,7,67
JD Unadkat,3,0,25,1,8.33,7,37
JD Unadkat,4,0,41,1,10.25,7,35
JD Unadkat,2,0,16,0,8,2,2
JD Unadkat,4,0,13,1,3.25,11,47
Kamindu Mendis,3,0,26,1,8.67,7,37
Kamindu Mendis,1,0,4,1,4,2,32
Kamindu Mendis,1,0,12,0,12,1,1
Kamindu Mendis,2,0,18,0,9,1,1
Mohammad Shami,4,0,28,2,7,10,70
Mohammad Shami,4,0,29,1,7.25,11,41
Mohammad Shami,3,0,28,1,9.33,7,37
Mohammad Shami,3,0,33,1,11,8,34
Mohammad Shami,3,0,37,1,12.33,5,29
Mohammad Shami,3,0,31,0,10.33,7,5
Mohammad Shami,4,0,75,0,18.75,3,-3
Mohammad Shami,3,0,28,0,9.33,7,7
Mohammad Shami,3,0,48,0,16,2,-4
Nitish Kumar Reddy,2,0,13,1,6.5,4,36
Nitish Kumar Reddy,2,0,28,1,14,4,28
Nitish Kumar Reddy,1,0,6,0,6,1,1
PJ Cummins,4,0,26,3,6.5,13,109
PJ Cummins,4,0,28,3,7,13,107
PJ Cummins,4,0,21,2,5.25,9,73
PJ Cummins,3,0,29,2,9.67,9,69
PJ Cummins,3.4,0,26,1,7.09,8,38
PJ Cummins,4,0,44,1,11,11,37
PJ Cummins,4,0,40,1,10,6,34
PJ Cummins,4,0,40,0,10,9,7
PJ Cummins,4,0,34,0,8.5,7,7
PJ Cummins,3,0,31,0,10.33,7,5
PJ Cummins,2,0,25,0,12.5,6,0
PJ Cummins,4,0,60,0,15,4,-2
PJ Cummins,2,0,27,0,13.5,2,-4
PJ Cummins,4,0,19,3,4.75,14,114
RD Chahar ,1,0,9,0,9,2,2
Simarjeet Singh,3,0,46,2,15.33,8,62
Simarjeet Singh,4,0,47,0,11.75,7,3
Simarjeet Singh,2,0,28,0,14,5,-1
Simarjeet Singh,1,0,20,0,20,2,2
Wiaan Mulder ,1,0,16,0,16,1,1
Zeeshan Ansari,4,0,42,3,10.5,5,97
Zeeshan Ansari,3.4,0,36,1,9.82,6,36
Zeeshan Ansari,4,0,42,1,10.5,4,32
Zeeshan Ansari,4,0,33,0,8.25,4,4
Zeeshan Ansari,3.1,0,35,0,11.05,8,4
Zeeshan Ansari,4,0,41,0,10.25,4,2
Zeeshan Ansari,3,0,30,0,10,6,4
Zeeshan Ansari,3,0,25,1,8.33,6,36
Zeeshan Ansari,3,0,27,0,9,5,5
Zeeshan Ansari,2,0,22,0,11,0,-4
