Player,Team,Year,Mat,Inns,NO,Runs,HS,O/NO,Ave,BF,SR,100,50,0,4s,6s
A Badoni ,LSG,2022,13,11,3,161,54,out,20.12,130,123.84,0,1,1,11,7
A Badoni ,LSG,2023,15,12,2,238,59,not out,23.8,172,138.37,0,1,0,13,12
A Badoni ,LSG,2024,14,12,4,235,55,not out,29.37,171,137.42,0,2,1,22,5
A Badoni ,LSG,2025,11,10,1,326,74,out,36.22,217,150.23,0,2,0,27,14
A Kamboj ,CSK,2025,6,4,2,9,4,not out,4.5,9,100,0,0,1,1,0
A Madhwal ,MI,2024,5,1,1,4,4,not out,0,5,80,0,0,0,0,0
A Madhwal ,RR,2025,2,1,1,4,4,not out,0,9,44.44,0,0,0,0,0
A Manohar ,GT,2022,8,7,1,108,43,out,18,75,144,0,0,1,14,3
A Manohar ,GT,2023,9,6,0,114,42,out,19,83,137.34,0,0,0,6,7
A Manohar ,GT,2024,2,2,0,9,8,out,4.5,16,56.25,0,0,0,1,0
A Manohar ,SRH,2025,6,4,0,49,43,out,12.25,50,98,0,0,1,2,3
A Mhatre ,CSK,2025,5,5,0,163,94,out,32.6,90,181.11,0,1,1,20,7
A Mishra ,LSG,2023,7,1,0,19,19,out,19,30,63.33,0,0,0,2,0
A Nortje ,DC,2020,16,5,4,7,3,not out,7,6,116.66,0,0,0,0,0
A Nortje ,DC,2023,10,7,4,37,23,not out,12.33,29,127.58,0,0,1,6,0
A Nortje ,DC,2024,6,2,0,4,4,out,2,8,50,0,0,1,0,0
A Nortje ,KKR,2025,1,1,1,0,0,not out,0,0,0,0,0,0,0,0
A Raghuvanshi ,KKR,2024,10,7,0,163,54,out,23.28,105,155.23,0,1,0,16,8
A Raghuvanshi ,KKR,2025,11,10,2,286,50,out,35.75,197,145.17,0,1,0,29,8
A Taide ,PBKS,2023,7,7,0,186,66,out,26.57,129,144.18,0,2,1,20,6
A Taide ,PBKS,2024,2,2,0,61,46,out,30.5,39,156.41,0,0,0,7,2
A Tomar ,KKR,2022,1,1,0,4,4,out,4,8,50,0,0,0,1,0
A Zampa ,RR,2023,6,3,0,10,7,out,3.33,16,62.5,0,0,0,0,0
AA Kulkarni ,LSG,2024,2,2,0,9,9,out,4.5,8,112.5,0,0,1,2,0
AB de Villiers ,RCB,2020,15,14,4,454,73,not out,45.4,286,158.74,0,5,1,33,23
AB de Villiers ,RCB,2021,15,14,4,313,76,not out,31.3,211,148.34,0,2,1,23,16
Abdul Samad ,LSG,2025,10,10,3,160,45,out,22.85,86,186.04,0,0,0,8,14
Abdul Samad ,SRH,2020,12,8,3,111,33,out,22.2,65,170.76,0,0,0,8,6
Abdul Samad ,SRH,2021,11,10,1,111,28,out,12.33,87,127.58,0,0,1,4,8
Abdul Samad ,SRH,2022,2,2,0,4,4,out,2,7,57.14,0,0,1,0,0
Abdul Samad ,SRH,2023,9,8,4,169,37,not out,42.25,128,132.03,0,0,0,10,11
Abdul Samad ,SRH,2024,16,12,2,182,37,not out,18.2,108,168.51,0,0,1,15,11
Abhishek Sharma ,SRH,2020,8,7,2,71,31,out,14.2,56,126.78,0,0,0,6,3
Abhishek Sharma ,SRH,2021,8,7,1,98,33,out,16.33,75,130.66,0,0,0,7,4
Abhishek Sharma ,SRH,2022,14,14,0,426,75,out,30.42,320,133.12,0,2,1,47,13
Abhishek Sharma ,SRH,2023,11,11,0,226,67,out,20.54,157,143.94,0,2,1,28,6
Abhishek Sharma ,SRH,2024,16,16,1,484,75,not out,32.26,237,204.21,0,3,0,36,42
Abhishek Sharma ,SRH,2025,11,10,0,314,141,out,31.4,174,180.45,1,1,1,35,17
Abishek Porel ,DC,2023,4,4,0,33,20,out,8.25,31,106.45,0,0,0,1,2
Abishek Porel ,DC,2024,14,12,2,327,65,out,32.7,205,159.51,0,2,1,36,13
Abishek Porel ,DC,2025,12,11,1,265,51,out,26.5,177,149.71,0,1,1,27,9
AD Russell ,KKR,2020,10,9,0,117,25,out,13,81,144.44,0,0,0,9,9
AD Russell ,KKR,2021,10,9,2,183,54,out,26.14,120,152.5,0,1,0,14,14
AD Russell ,KKR,2022,14,12,3,335,70,not out,37.22,192,174.47,0,1,2,18,32
AD Russell ,KKR,2023,14,14,3,227,42,out,20.63,156,145.51,0,0,1,13,18
AD Russell ,KKR,2024,15,9,2,222,64,not out,31.71,120,185,0,1,0,20,16
AD Russell ,KKR,2025,12,9,1,167,57,not out,20.87,101,165.34,0,1,0,16,14
AF Milne ,MI,2021,4,3,1,16,15,out,8,17,94.11,0,0,1,0,1
AJ Finch ,KKR,2022,5,5,0,86,58,out,17.2,61,140.98,0,1,0,10,3
AJ Finch ,RCB,2020,12,12,0,268,52,out,22.33,241,111.2,0,1,0,28,8
AJ Hosein ,SRH,2023,1,1,1,16,16,not out,0,10,160,0,0,0,1,1
AJ Turner ,LSG,2024,2,2,0,21,16,out,10.5,18,116.66,0,0,0,0,2
AJ Tye ,RR,2020,1,1,0,6,6,out,6,6,100,0,0,0,0,1
AK Markram ,LSG,2025,11,11,0,348,66,out,31.63,237,146.83,0,4,0,31,16
AK Markram ,PBKS,2021,6,6,1,146,42,out,29.2,119,122.68,0,0,0,12,4
AK Markram ,SRH,2022,14,12,4,381,68,not out,47.62,274,139.05,0,3,0,25,19
AK Markram ,SRH,2023,13,13,2,248,50,out,22.54,197,125.88,0,1,1,18,8
AK Markram ,SRH,2024,11,11,2,220,50,out,24.44,177,124.29,0,1,1,18,4
Akash Deep ,LSG,2025,4,1,0,0,0,out,0,1,0,0,0,1,0,0
Akash Deep ,RCB,2023,2,1,0,17,17,out,17,8,212.5,0,0,0,2,1
AM Rahane ,CSK,2023,14,11,1,326,71,not out,32.6,189,172.48,0,2,0,24,16
AM Rahane ,CSK,2024,13,12,0,242,45,out,20.16,196,123.46,0,0,0,23,7
AM Rahane ,DC,2020,9,8,0,113,60,out,14.12,107,105.6,0,1,2,12,2
AM Rahane ,DC,2021,2,1,0,8,8,out,8,8,100,0,0,0,1,0
AM Rahane ,KKR,2022,7,7,0,133,44,out,19,128,103.9,0,0,0,14,4
AM Rahane ,KKR,2025,12,11,1,375,61,out,37.5,256,146.48,0,3,0,33,20
Aman Hakim Khan ,DC,2023,11,9,1,110,51,out,13.75,101,108.91,0,1,1,7,6
