Player,Team,Year,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
A Badoni ,LSG,2022,13,2,12,2,-,11,2,01-May,5.5,5.5,6,-,-
A Kamboj ,MI,2024,3,3,60,10,-,114,2,Jan-24,57,11.4,30,-,-
A Kamboj ,CSK,2025,6,6,96,16,-,138,4,Jan-16,34.5,8.62,24,-,-
A Madhwal ,MI,2023,8,8,153,25.3,-,219,14,05-May,15.64,8.58,10.92,1,1
A Madhwal ,MI,2024,5,5,109,18.1,-,205,5,Mar-20,41,11.28,21.8,-,-
A Mishra ,DC,2020,3,3,60,10,-,72,3,Feb-35,24,7.2,20,-,-
A Mishra ,DC,2021,4,4,84,14,-,109,6,Apr-24,18.16,7.78,14,1,-
A Mishra ,LSG,2023,7,7,114,19,-,149,7,Feb-21,21.28,7.84,16.28,-,-
A Mishra ,LSG,2024,1,1,12,2,-,20,1,Jan-20,20,10,12,-,-
A Nortje ,DC,2020,16,16,366,61,-,512,22,Mar-33,23.27,8.39,16.63,-,-
A Nortje ,DC,2021,8,8,182,30.2,1,187,12,02-Dec,15.58,6.16,15.16,-,-
A Nortje ,DC,2022,6,6,134,22.2,-,217,9,Mar-42,24.11,9.71,14.88,-,-
A Nortje ,DC,2023,10,10,240,40,-,364,10,Feb-20,36.4,9.1,24,-,-
A Nortje ,DC,2024,6,6,132,22,-,294,7,Mar-59,42,13.36,18.85,-,-
A Nortje ,KKR,2025,1,1,18,3,-,23,1,Jan-23,23,7.66,18,-,-
A Zampa ,RCB,2020,3,3,66,11,-,92,2,01-Dec,46,8.36,33,-,-
A Zampa ,RR,2023,6,6,132,22,-,188,8,Mar-22,23.5,8.54,16.5,-,-
A Zampa ,SRH,2025,2,2,48,8,-,94,2,Jan-46,47,11.75,24,-,-
Abdul Samad ,SRH,2020,12,3,42,7,-,96,1,Jan-41,96,13.71,42,-,-
Abdul Samad ,SRH,2021,11,1,6,1,-,9,1,01-Sep,9,9,6,-,-
Abhishek Sharma ,SRH,2020,8,6,60,10,-,91,2,Jan-15,45.5,9.1,30,-,-
