Player,Team,Year,Mat,Inns,Dismissed,Ct,St,Max Dis Inns,Dis/Inn
Q de Kock ,MI,2020,16,16,22,18,4,4 (3ct 1st),1.375
MS Dhoni ,CSK,2020,14,14,16,15,1,4 (4ct 0st),1.142
RR Pant ,DC,2020,14,14,13,13,0,2 (2ct 0st),0.928
KL Rahul ,PBKS,2020,14,11,10,10,0,2 (2ct 0st),0.909
AB de Villiers ,RCB,2020,15,13,10,9,1,3 (3ct 0st),0.769
KD Karthik ,KKR,2020,14,14,9,9,0,4 (4ct 0st),0.642
JM Bairstow ,SRH,2020,11,10,8,7,1,2 (2ct 0st),0.8
SV Samson ,RR,2020,14,7,7,5,2,4 (2ct 2st),1
WP Saha ,SRH,2020,4,4,3,2,1,2 (1ct 1st),0.75
JC Buttler ,RR,2020,13,7,3,3,0,1 (1ct 0st),0.428
AT Carey ,DC,2020,3,3,2,2,0,1 (1ct 0st),0.666
SP Goswami ,SRH,2020,2,2,1,1,0,1 (1ct 0st),0.5
Prabhsimran Singh ,PBKS,2020,2,2,1,1,0,1 (1ct 0st),0.5
N Pooran ,PBKS,2020,14,1,0,0,0,0,0
JR Philippe ,RCB,2020,5,2,0,0,0,0,0
MS Dhoni ,CSK,2021,16,16,13,13,0,3 (3ct 0st),0.812
RR Pant ,DC,2021,16,16,13,10,3,3 (3ct 0st),0.812
SV Samson ,RR,2021,14,14,11,7,4,2 (2ct 0st),0.785
KL Rahul ,PBKS,2021,13,12,10,10,0,2 (2ct 0st),0.833
AB de Villiers ,RCB,2021,15,7,8,8,0,3 (3ct 0st),1.142
KD Karthik ,KKR,2021,17,17,7,5,2,1 (1ct 0st),0.411
WP Saha ,SRH,2021,9,9,6,6,0,2 (2ct 0st),0.666
Q de Kock ,MI,2021,11,11,6,4,2,2 (2ct 0st),0.545
KS Bharat ,RCB,2021,8,8,5,4,1,2 (2ct 0st),0.625
Ishan Kishan ,MI,2021,10,3,3,3,0,3 (3ct 0st),1
JM Bairstow ,SRH,2021,7,5,3,2,1,2 (1ct 1st),0.6
Prabhsimran Singh ,PBKS,2021,2,2,0,0,0,0,0
SV Samson ,RR,2022,17,17,16,14,2,3 (3ct 0st),0.941
WP Saha ,GT,2022,11,11,13,11,2,4 (4ct 0st),1.181
Ishan Kishan ,MI,2022,14,14,13,13,0,3 (3ct 0st),0.928
Q de Kock ,LSG,2022,15,15,13,12,1,2 (2ct 0st),0.866
RR Pant ,DC,2022,14,14,12,8,4,3 (2ct 1st),0.857
KD Karthik ,RCB,2022,16,16,12,10,2,2 (2ct 0st),0.75
JM Sharma ,PBKS,2022,12,11,11,9,2,2 (2ct 0st),1
MS Dhoni ,CSK,2022,14,14,9,9,0,2 (2ct 0st),0.642
