Player,Team,Year,Mat,Inns,Ct,Max,Ct/Inn
F du Plessis ,CSK,2020,13,13,12,3,0.923
DA Warner ,SRH,2020,16,16,12,2,0.75
R Tewatia ,RR,2020,14,14,9,2,0.642
D Padikkal ,RCB,2020,15,15,8,2,0.533
KA Pollard ,MI,2020,16,16,8,2,0.5
SA Yadav ,MI,2020,16,16,8,2,0.5
K Rabada ,DC,2020,17,17,8,1,0.47
CH Morris ,RCB,2020,9,9,7,2,0.777
SO Hetmyer ,DC,2020,12,12,7,3,0.583
N Pooran ,PBKS,2020,14,13,7,1,0.538
SM Curran ,CSK,2020,14,14,7,2,0.5
Shubman Gill ,KKR,2020,14,14,7,2,0.5
MK Pandey ,SRH,2020,16,16,7,1,0.437
BA Stokes ,RR,2020,8,8,6,2,0.75
MA Agarwal ,PBKS,2020,11,11,6,2,0.545
RG Sharma ,MI,2020,12,12,6,2,0.5
KS Williamson ,SRH,2020,12,12,6,2,0.5
PK Garg ,SRH,2020,14,14,6,2,0.428
HH Pandya ,MI,2020,14,14,6,3,0.428
AR Patel ,DC,2020,15,15,6,1,0.4
SS Iyer ,DC,2020,17,17,6,1,0.352
Gurkeerat Singh ,RCB,2020,8,8,5,2,0.625
CJ Jordan ,PBKS,2020,9,9,5,2,0.555
Abdul Samad ,SRH,2020,12,12,5,2,0.416
JC Archer ,RR,2020,14,14,5,2,0.357
RA Jadeja ,CSK,2020,14,14,5,2,0.357
S Dhawan ,DC,2020,17,17,5,1,0.294
RD Gaikwad ,CSK,2020,6,6,4,2,0.666
SV Samson ,RR,2020,14,7,4,1,0.571
Shivam Mavi ,KKR,2020,8,8,4,2,0.5
M Ashwin ,PBKS,2020,9,9,4,2,0.444
Mohammed Siraj ,RCB,2020,9,9,4,1,0.444
AM Rahane ,DC,2020,9,9,4,1,0.444
KL Nagarkoti ,KKR,2020,10,10,4,2,0.4
GJ Maxwell ,PBKS,2020,13,13,4,2,0.307
PP Shaw ,DC,2020,13,13,4,2,0.307
TA Boult ,MI,2020,15,15,4,1,0.266
RD Chahar ,MI,2020,15,15,4,1,0.266
A Nortje ,DC,2020,16,16,4,1,0.25
KH Pandya ,MI,2020,16,16,4,2,0.25
DR Sams ,DC,2020,3,3,3,2,1
JC Buttler ,RR,2020,13,6,3,2,0.5
DJ Hooda ,PBKS,2020,7,7,3,1,0.428
I Udana ,RCB,2020,10,10,3,1,0.3
RA Tripathi ,KKR,2020,11,11,3,3,0.272
AJ Finch ,RCB,2020,12,12,3,1,0.25
AT Rayudu ,CSK,2020,12,12,3,1,0.25
RV Uthappa ,RR,2020,12,12,3,1,0.25
CV Varun ,KKR,2020,13,13,3,1,0.23
DL Chahar ,CSK,2020,14,14,3,2,0.214
PJ Cummins ,KKR,2020,14,14,3,2,0.214
EJG Morgan ,KKR,2020,14,14,3,1,0.214
V Kohli ,RCB,2020,15,15,3,2,0.2
T Natarajan ,SRH,2020,16,16,3,1,0.187
Rashid Khan ,SRH,2020,16,16,3,1,0.187
MP Stoinis ,DC,2020,17,17,3,1,0.176
SN Khan ,PBKS,2020,5,5,2,1,0.4
NM Coulter-Nile ,MI,2020,7,7,2,1,0.285
Arshdeep Singh ,PBKS,2020,8,8,2,2,0.25
SN Thakur ,CSK,2020,9,9,2,1,0.222
Kartik Tyagi ,RR,2020,10,10,2,2,0.2
SP Narine ,KKR,2020,10,10,2,1,0.2
JL Pattinson ,MI,2020,10,10,2,1,0.2
AD Russell ,KKR,2020,10,10,2,1,0.2
S Dube ,RCB,2020,11,11,2,2,0.181
SR Watson ,CSK,2020,11,11,2,1,0.181
NA Saini ,RCB,2020,13,13,2,1,0.153
S Gopal ,RR,2020,14,14,2,1,0.142
Mohammed Shami ,PBKS,2020,14,14,2,1,0.142
N Rana ,KKR,2020,14,14,2,1,0.142
Ravi Bishnoi ,PBKS,2020,14,14,2,2,0.142
SPD Smith ,RR,2020,14,14,2,1,0.142
R Ashwin ,DC,2020,15,15,2,1,0.133
NS Naik ,KKR,2020,1,1,1,1,1
RK Singh ,KKR,2020,1,1,1,1,1
AB de Villiers ,RCB,2020,15,2,1,1,0.5
Shahbaz Ahmed ,RCB,2020,2,2,1,1,0.5
MJ Santner ,CSK,2020,2,2,1,1,0.5
MM Ali ,RCB,2020,3,3,1,1,0.333
P Dubey ,DC,2020,3,3,1,1,0.333
YBK Jaiswal ,RR,2020,3,3,1,1,0.333
A Mishra ,DC,2020,3,3,1,1,0.333
A Zampa ,RCB,2020,3,3,1,1,0.333
KK Nair ,PBKS,2020,4,4,1,1,0.25
TK Curran ,RR,2020,5,5,1,1,0.2
TU Deshpande ,DC,2020,5,5,1,1,0.2
JDS Neesham ,PBKS,2020,5,5,1,1,0.2
HV Patel ,DC,2020,5,5,1,1,0.2
DJ Bravo ,CSK,2020,6,6,1,1,0.166
M Prasidh Krishna ,KKR,2020,6,6,1,1,0.166
KK Ahmed ,SRH,2020,7,7,1,1,0.142
CH Gayle ,PBKS,2020,7,7,1,1,0.142
Mandeep Singh ,PBKS,2020,7,7,1,1,0.142
S Nadeem ,SRH,2020,7,7,1,1,0.142
V Shankar ,SRH,2020,7,7,1,1,0.142
SS Tiwary ,MI,2020,7,7,1,1,0.142
JD Unadkat ,RR,2020,7,7,1,1,0.142
Abhishek Sharma ,SRH,2020,8,8,1,1,0.125
KM Jadhav ,CSK,2020,8,8,1,1,0.125
R Parag ,RR,2020,12,12,1,1,0.083
RA Jadeja ,CSK,2021,16,16,13,4,0.812
F du Plessis ,CSK,2021,16,16,12,2,0.75
SPD Smith ,DC,2021,8,8,9,2,1.125
DT Christian ,RCB,2021,9,9,9,2,1
K Rabada ,DC,2021,15,15,9,2,0.6
S Dhawan ,DC,2021,16,16,9,3,0.562
