Team1,Team2,Winner,Margin,Runs/wicket,Ground,Match Date,Scorecard
DC,MI,MI,5,wickets,Dubai (DICS),10/11/20,Twenty20
DC,SRH,DC,17,runs,Abu Dhabi,08/11/20,Twenty20
RCB,SRH,SRH,6,wickets,Abu Dhabi,06/11/20,Twenty20
DC,MI,MI,57,runs,Dubai (DICS),05/11/20,Twenty20
SRH,MI,SRH,10,wickets,Sharjah,03/11/20,Twenty20
DC,RCB,DC,6,wickets,Abu Dhabi,02/11/20,Twenty20
KKR,RR,KKR,60,runs,Dubai (DICS),01/11/20,Twenty20
CSK,PBKS,CSK,9,wickets,Abu Dhabi,01/11/20,Twenty20
RCB,SRH,SRH,5,wickets,Sharjah,31/10/20,Twenty20
DC,MI,MI,9,wickets,Dubai (DICS),31/10/20,Twenty20
PBKS,RR,RR,7,wickets,Abu Dhabi,30/10/20,Twenty20
CSK,KKR,CSK,6,wickets,Dubai (DICS),29/10/20,Twenty20
MI,RCB,MI,5,wickets,Abu Dhabi,28/10/20,Twenty20
SRH,DC,SRH,88,runs,Dubai (DICS),27/10/20,Twenty20
KKR,PBKS,PBKS,8,wickets,Sharjah,26/10/20,Twenty20
RR,MI,RR,8,wickets,Abu Dhabi,25/10/20,Twenty20
RCB,CSK,CSK,8,wickets,Dubai (DICS),25/10/20,Twenty20
PBKS,SRH,PBKS,12,runs,Dubai (DICS),24/10/20,Twenty20
KKR,DC,KKR,59,runs,Abu Dhabi,24/10/20,Twenty20
CSK,MI,MI,10,wickets,Sharjah,23/10/20,Twenty20
RR,SRH,SRH,8,wickets,Dubai (DICS),22/10/20,Twenty20
KKR,RCB,RCB,8,wickets,Abu Dhabi,21/10/20,Twenty20
PBKS,DC,PBKS,5,wickets,Dubai (DICS),20/10/20,Twenty20
CSK,RR,RR,7,wickets,Abu Dhabi,19/10/20,Twenty20
MI,PBKS,tied,-,,Dubai (DICS),18/10/20,Twenty20
SRH,KKR,tied,-,,Abu Dhabi,18/10/20,Twenty20
DC,CSK,DC,5,wickets,Sharjah,17/10/20,Twenty20
RR,RCB,RCB,7,wickets,Dubai (DICS),17/10/20,Twenty20
MI,KKR,MI,8,wickets,Abu Dhabi,16/10/20,Twenty20
RCB,PBKS,PBKS,8,wickets,Sharjah,15/10/20,Twenty20
