Player1,Player2,Runs,O/NO,Wickets,Team,Opposition,Ground,Match Date,Scorecard
KL Rahul, MA Agarwal,183,out,1st,PBKS,RR,Sharjah,27/09/2020,Twenty20
SR Watson, F du Plessis,181,not out,1st,CSK,PBKS,Dubai (DICS),04/10/2020,Twenty20
DA Warner, JM Bairstow,160,out,1st,SRH,PBKS,Dubai (DICS),08/10/2020,Twenty20
BA Stokes, SV Samson,152,not out,3rd,RR,MI,Abu Dhabi,25/10/2020,Twenty20
DA Warner, WP Saha,151,not out,1st,SRH,MI,Sharjah,03/11/2020,Twenty20
V Shankar, MK Pandey,140,not out,3rd,SRH,RR,Dubai (DICS),22/10/2020,Twenty20
SPD Smith, SV Samson,121,out,2nd,RR,CSK,Sharjah,22/09/2020,Twenty20
KL Rahul, CH Gayle,120,out,2nd,PBKS,RR,Abu Dhabi,30/10/2020,Twenty20
KA Pollard, Ishan Kishan,119,out,5th,MI,RCB,Dubai (DICS),28/09/2020,Twenty20
Ishan Kishan, Q de Kock,116,not out,1st,MI,CSK,Sharjah,23/10/2020,Twenty20
AT Rayudu, F du Plessis,115,out,3rd,CSK,MI,Abu Dhabi,19/09/2020,Twenty20
KL Rahul, MA Agarwal,115,out,1st,PBKS,KKR,Abu Dhabi,10/10/2020,Twenty20
N Rana, SP Narine,115,out,4th,KKR,DC,Abu Dhabi,24/10/2020,Twenty20
DA Warner, WP Saha,107,out,1st,SRH,DC,Dubai (DICS),27/10/2020,Twenty20
V Kohli, AB de Villiers,100,not out,3rd,RCB,KKR,Sharjah,12/10/2020,Twenty20
Mandeep Singh, CH Gayle,100,out,2nd,PBKS,KKR,Sharjah,26/10/2020,Twenty20
D Padikkal, V Kohli,99,out,2nd,RCB,RR,Abu Dhabi,03/10/2020,Twenty20
SPD Smith, JC Buttler,98,not out,4th,RR,CSK,Abu Dhabi,19/10/2020,Twenty20
RR Pant, SS Iyer,96,out,4th,DC,MI,Dubai (DICS),10/11/2020,Twenty20
PP Shaw, S Dhawan,94,out,1st,DC,CSK,Dubai (DICS),25/09/2020,Twenty20
RG Sharma, Q de Kock,94,out,1st,MI,KKR,Abu Dhabi,16/10/2020,Twenty20
KL Rahul, CH Gayle,93,out,2nd,PBKS,RCB,Sharjah,15/10/2020,Twenty20
Shubman Gill, EJG Morgan,92,not out,4th,KKR,SRH,Abu Dhabi,26/09/2020,Twenty20
D Padikkal, AJ Finch,90,out,1st,RCB,SRH,Dubai (DICS),21/09/2020,Twenty20
SA Yadav, RG Sharma,90,out,2nd,MI,KKR,Abu Dhabi,23/09/2020,Twenty20
MP Stoinis, RR Pant,89,out,4th,DC,RCB,Dubai (DICS),05/10/2020,Twenty20
AM Rahane, S Dhawan,88,out,2nd,DC,RCB,Abu Dhabi,02/11/2020,Twenty20
EJG Morgan, PJ Cummins,87,not out,6th,KKR,MI,Abu Dhabi,16/10/2020,Twenty20
SR Watson, F du Plessis,87,out,2nd,CSK,DC,Sharjah,17/10/2020,Twenty20
MP Stoinis, S Dhawan,86,out,1st,DC,SRH,Abu Dhabi,08/11/2020,Twenty20
