Wickets,Runs,O/NO,Player1,Player2,Team,Opposition,Ground,Match Date,Scorecard
1st,183,out,KL Rahul, MA Agarwal,PBKS,RR,Sharjah,27/09/2020,Twenty20
2nd,121,out,SPD Smith, SV Samson,RR,CSK,Sharjah,22/09/2020,Twenty20
3rd,152,not out,BA Stokes, SV Samson,RR,MI,Abu Dhabi,25/10/2020,Twenty20
4th,115,out,N Rana, SP Narine,KKR,DC,Abu Dhabi,24/10/2020,Twenty20
5th,119,out,KA Pollard, Ishan Kishan,MI,RCB,Dubai (DICS),28/09/2020,Twenty20
6th,87,not out,EJG Morgan, PJ Cummins,KKR,MI,Abu Dhabi,16/10/2020,Twenty20
7th,78,out,RA Tripathi, EJG Morgan,KKR,DC,Sharjah,03/10/2020,Twenty20
8th,38,not out,TK Curran, JC Archer,RR,CSK,Sharjah,22/09/2020,Twenty20
8th,38,out,Shivam Mavi, PJ Cummins,KKR,MI,Abu Dhabi,23/09/2020,Twenty20
9th,43,out,Imran Tahir, SM Curran,CSK,MI,Sharjah,23/10/2020,Twenty20
10th,31,not out,AS Rajpoot, TK Curran,RR,KKR,Dubai (DICS),30/09/2020,Twenty20
1st,181,not out,D Padikkal, V Kohli,RCB,RR,Wankhede,22/04/2021,Twenty20
2nd,150,out,SV Samson, JC Buttler,RR,SRH,Delhi,02/05/2021,Twenty20
3rd,105,out,KL Rahul, DJ Hooda,PBKS,RR,Wankhede,12/04/2021,Twenty20
4th,111,not out,GJ Maxwell, KS Bharat,RCB,DC,Dubai (DICS),08/10/2021,Twenty20
5th,102,not out,AT Rayudu, RA Jadeja,CSK,MI,Delhi,01/05/2021,Twenty20
6th,81,out,AD Russell, KD Karthik,KKR,CSK,Wankhede,21/04/2021,Twenty20
7th,51,out,RA Jadeja, SM Curran,CSK,DC,Wankhede,10/04/2021,Twenty20
8th,48,out,HV Patel, KA Jamieson,RCB,PBKS,Ahmedabad,30/04/2021,Twenty20
9th,39,out,Shivam Mavi, LH Ferguson,KKR,CSK,Dubai (DICS),15/10/2021,Twenty20
10th,19,not out,Mohammed Siraj, YS Chahal,RCB,CSK,Wankhede,25/04/2021,Twenty20
1st,210,not out,KL Rahul, Q de Kock,LSG,KKR,DY Patil,18/05/2022,Twenty20
2nd,144,out,DA Warner, MR Marsh,DC,RR,DY Patil,11/05/2022,Twenty20
3rd,165,out,RV Uthappa, S Dube,CSK,RCB,DY Patil,12/04/2022,Twenty20
